,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,Proposed TNC Groups
247,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2017,4737270,11/1/12,2012,2013,1,High Op-Ex,16
248,38300,"Pittsburgh, PA Metro Area",2017,2333367,2/1/14,2014,2015,1,High Op-Ex,13
249,38340,"Pittsfield, MA Metro Area",2017,126313,6/1/17,2017,2018,0,Low Op-Ex,22
250,38540,"Pocatello, ID Metro Area",2017,85269,10/1/17,2017,2018,0,,
251,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2017,649202,12/1/14,2014,2015,1,Mid Op-Ex,21
252,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2017,2451560,8/1/14,2014,2015,1,High Op-Ex,12
253,38940,"Port St. Lucie, FL Metro Area",2017,473429,3/1/15,2015,2016,1,Low Op-Ex,22
254,39140,"Prescott, AZ Metro Area",2017,228168,4/1/16,2016,2017,1,,
255,44140,"Springfield, MA Metro Area",2017,631652,1/1/15,2015,2016,1,Mid Op-Ex,21
256,39340,"Provo-Orem, UT Metro Area",2017,617678,4/1/15,2015,2016,1,Mid Op-Ex,21
257,39380,"Pueblo, CO Metro Area",2017,166475,9/1/16,2016,2017,1,Low Op-Ex,22
258,39460,"Punta Gorda, FL Metro Area",2017,182033,10/1/15,2015,2016,1,Low Op-Ex,22
259,39540,"Racine, WI Metro Area",2017,196071,11/1/15,2015,2016,1,Low Op-Ex,22
260,25420,"Harrisburg-Carlisle, PA Metro Area",2017,571903,2/1/15,2015,2016,1,Mid Op-Ex,21
261,39740,"Reading, PA Metro Area",2017,417854,5/1/15,2015,2016,1,Low Op-Ex,22
262,39820,"Redding, CA Metro Area",2017,179921,3/1/16,2016,2017,1,Low Op-Ex,22
263,20500,"Durham-Chapel Hill, NC Metro Area",2017,567428,6/1/14,2014,2015,1,Mid Op-Ex,21
264,44060,"Spokane-Spokane Valley, WA Metro Area",2017,564291,6/1/14,2014,2015,1,Mid Op-Ex,21
265,29540,"Lancaster, PA Metro Area",2017,542903,4/1/15,2015,2016,1,Mid Op-Ex,21
266,40220,"Roanoke, VA Metro Area",2017,312688,11/1/14,2014,2015,1,Low Op-Ex,22
267,40340,"Rochester, MN Metro Area",2017,218280,3/1/17,2017,2018,0,Low Op-Ex,22
268,38860,"Portland-South Portland, ME Metro Area",2017,532083,10/1/14,2014,2015,1,Mid Op-Ex,21
269,40420,"Rockford, IL Metro Area",2017,338291,3/1/15,2015,2016,1,Low Op-Ex,22
270,40580,"Rocky Mount, NC Metro Area",2017,146738,11/1/18,2018,2019,0,Low Op-Ex,22
271,40660,"Rome, GA Metro Area",2017,97613,5/1/18,2018,2019,0,Low Op-Ex,22
272,29620,"Lansing-East Lansing, MI Metro Area",2017,477656,8/1/14,2014,2015,1,Mid Op-Ex,21
273,40980,"Saginaw, MI Metro Area",2017,191934,3/1/17,2017,2018,0,Low Op-Ex,22
274,41060,"St. Cloud, MN Metro Area",2017,197759,3/1/17,2017,2018,0,Low Op-Ex,22
275,41100,"St. George, UT Metro Area",2017,165662,7/1/16,2016,2017,1,Low Op-Ex,22
276,41140,"St. Joseph, MO-KS Metro Area",2017,127092,9/1/17,2017,2018,0,Low Op-Ex,22
277,39900,"Reno, NV Metro Area",2017,465208,9/1/15,2015,2016,1,Mid Op-Ex,21
278,18580,"Corpus Christi, TX Metro Area",2017,449830,6/1/17,2017,2018,0,Mid Op-Ex,21
279,42060,"Santa Maria-Santa Barbara, CA Metro Area",2017,448150,10/1/13,2013,2014,1,Mid Op-Ex,21
280,41540,"Salisbury, MD-DE Metro Area",2017,405853,5/1/15,2015,2016,1,Low Op-Ex,22
281,41500,"Salinas, CA Metro Area",2017,437907,8/1/14,2014,2015,1,Mid Op-Ex,21
282,41660,"San Angelo, TX Metro Area",2017,119317,8/1/17,2017,2018,0,Low Op-Ex,22
283,41420,"Salem, OR Metro Area",2017,424982,6/1/17,2017,2018,0,Mid Op-Ex,21
284,41740,"San Diego-Carlsbad, CA Metro Area",2017,3337685,5/1/12,2012,2013,1,High Op-Ex,10
285,41860,"San Francisco-Oakland-Hayward, CA Metro Area",2017,4727357,10/1/10,2010,2011,1,High Op-Ex,2
286,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2017,1998463,5/1/12,2012,2013,1,High Op-Ex,6
287,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2017,283405,7/1/14,2014,2015,1,Low Op-Ex,22
288,11260,"Anchorage, AK Metro Area",2017,400888,6/1/17,2017,2018,0,Mid Op-Ex,21
289,21660,"Eugene, OR Metro Area",2017,374748,9/1/18,2018,2019,0,Mid Op-Ex,21
290,42140,"Santa Fe, NM Metro Area",2017,148750,3/1/15,2015,2016,1,Low Op-Ex,22
291,42220,"Santa Rosa, CA Metro Area",2017,504217,5/1/14,2014,2015,1,Low Op-Ex,22
292,42340,"Savannah, GA Metro Area",2017,387543,5/1/15,2015,2016,1,Low Op-Ex,22
293,42540,"Scranton-Wilkes-Barre-Hazleton, PA Metro Area",2017,555426,2/1/15,2015,2016,1,Low Op-Ex,22
294,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2017,3867046,8/1/11,2011,2012,1,High Op-Ex,11
295,42680,"Sebastian-Vero Beach, FL Metro Area",2017,154383,8/1/15,2015,2016,1,Low Op-Ex,22
296,42700,"Sebring, FL Metro Area",2017,102883,10/1/18,2018,2019,0,,
297,43100,"Sheboygan, WI Metro Area",2017,115344,5/1/17,2017,2018,0,Low Op-Ex,22
298,43300,"Sherman-Denison, TX Metro Area",2017,131140,6/1/18,2018,2019,0,Low Op-Ex,22
299,43340,"Shreveport-Bossier City, LA Metro Area",2017,440933,2/1/18,2018,2019,0,Low Op-Ex,22
300,43420,"Sierra Vista-Douglas, AZ Metro Area",2017,124756,6/1/18,2018,2019,0,,
301,43580,"Sioux City, IA-NE-SD Metro Area",2017,169131,4/1/17,2017,2018,0,Low Op-Ex,22
302,43780,"South Bend-Mishawaka, IN-MI Metro Area",2017,321815,10/1/14,2014,2015,1,Low Op-Ex,22
303,43900,"Spartanburg, SC Metro Area",2017,334391,7/1/15,2015,2016,1,Low Op-Ex,22
304,45940,"Trenton, NJ Metro Area",2017,374733,5/1/14,2014,2015,1,Mid Op-Ex,21
305,44100,"Springfield, IL Metro Area",2017,207596,2/1/15,2015,2016,1,Low Op-Ex,22
306,11460,"Ann Arbor, MI Metro Area",2017,367627,4/1/14,2014,2015,1,Mid Op-Ex,21
307,44180,"Springfield, MO Metro Area",2017,461469,11/1/16,2016,2017,1,Low Op-Ex,22
308,44220,"Springfield, OH Metro Area",2017,134557,2/1/17,2017,2018,0,Low Op-Ex,22
309,44300,"State College, PA Metro Area",2017,162660,2/1/15,2015,2016,1,Low Op-Ex,22
310,44420,"Staunton-Waynesboro, VA Metro Area",2017,121999,3/1/18,2018,2019,0,,
311,14500,"Boulder, CO Metro Area",2017,322514,2/1/14,2014,2015,1,Mid Op-Ex,21
312,44940,"Sumter, SC Metro Area",2017,106847,3/1/18,2018,2019,0,Low Op-Ex,22
313,28420,"Kennewick-Richland, WA Metro Area",2017,290296,12/1/16,2016,2017,1,Mid Op-Ex,21
314,45220,"Tallahassee, FL Metro Area",2017,385473,9/1/14,2014,2015,1,Low Op-Ex,22
315,36500,"Olympia-Tumwater, WA Metro Area",2017,280588,6/1/15,2015,2016,1,Mid Op-Ex,21
316,45460,"Terre Haute, IN Metro Area",2017,165798,3/1/17,2017,2018,0,Low Op-Ex,22
317,45500,"Texarkana, TX-AR Metro Area",2017,152188,4/1/18,2018,2019,0,Low Op-Ex,22
318,45540,"The Villages, FL Metro Area",2017,125165,12/1/17,2017,2018,0,,
319,45780,"Toledo, OH Metro Area",2017,603668,11/1/14,2014,2015,1,Low Op-Ex,22
320,45820,"Topeka, KS Metro Area",2017,233149,11/1/15,2015,2016,1,Low Op-Ex,22
321,42100,"Santa Cruz-Watsonville, CA Metro Area",2017,275897,6/1/14,2014,2015,1,Mid Op-Ex,21
322,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,269918,5/1/14,2014,2015,1,Mid Op-Ex,21
323,46140,"Tulsa, OK Metro Area",2017,990773,4/1/14,2014,2015,1,Low Op-Ex,22
324,46220,"Tuscaloosa, AL Metro Area",2017,242279,8/1/16,2016,2017,1,Low Op-Ex,22
325,46340,"Tyler, TX Metro Area",2017,227727,9/1/16,2016,2017,1,Low Op-Ex,22
326,14740,"Bremerton-Silverdale, WA Metro Area",2017,266414,5/1/16,2016,2017,1,Mid Op-Ex,21
327,46540,"Utica-Rome, NY Metro Area",2017,293572,7/1/17,2017,2018,0,Low Op-Ex,22
328,46660,"Valdosta, GA Metro Area",2017,145871,3/1/17,2017,2018,0,,
329,46700,"Vallejo-Fairfield, CA Metro Area",2017,445458,11/1/14,2014,2015,1,Low Op-Ex,22
330,47020,"Victoria, TX Metro Area",2017,100228,3/1/18,2018,2019,0,Low Op-Ex,22
331,47220,"Vineland-Bridgeton, NJ Metro Area",2017,152538,10/1/16,2016,2017,1,Low Op-Ex,22
332,16580,"Champaign-Urbana, IL Metro Area",2017,241000,2/1/15,2015,2016,1,Mid Op-Ex,21
333,47300,"Visalia-Porterville, CA Metro Area",2017,464493,6/1/15,2015,2016,1,Low Op-Ex,22
334,47380,"Waco, TX Metro Area",2017,267554,1/1/15,2015,2016,1,Low Op-Ex,22
335,47460,"Walla Walla, WA Metro Area",2017,64831,8/1/18,2018,2019,0,,
336,47580,"Warner Robins, GA Metro Area",2017,192766,6/1/16,2016,2017,1,Low Op-Ex,22
337,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2017,6216710,12/1/11,2011,2012,1,High Op-Ex,3
338,47940,"Waterloo-Cedar Falls, IA Metro Area",2017,169892,4/1/17,2017,2018,0,Low Op-Ex,22
339,48060,"Watertown-Fort Drum, NY Metro Area",2017,114187,7/1/17,2017,2018,0,,
340,48140,"Wausau, WI Metro Area",2017,135732,3/1/17,2017,2018,0,Low Op-Ex,22
341,48300,"Wenatchee, WA Metro Area",2017,118478,6/1/17,2017,2018,0,Low Op-Ex,22
342,48540,"Wheeling, WV-OH Metro Area",2017,141254,9/1/17,2017,2018,0,Low Op-Ex,22
343,48620,"Wichita, KS Metro Area",2017,646542,9/1/14,2014,2015,1,Low Op-Ex,22
344,48660,"Wichita Falls, TX Metro Area",2017,151230,8/1/17,2017,2018,0,Low Op-Ex,22
345,48700,"Williamsport, PA Metro Area",2017,113841,11/1/16,2016,2017,1,Low Op-Ex,22
346,48900,"Wilmington, NC Metro Area",2017,288156,7/1/14,2014,2015,1,Low Op-Ex,22
347,49020,"Winchester, VA-WV Metro Area",2017,139223,9/1/16,2016,2017,1,Low Op-Ex,22
348,49180,"Winston-Salem, NC Metro Area",2017,667733,8/1/14,2014,2015,1,Low Op-Ex,22
349,12700,"Barnstable Town, MA Metro Area",2017,213444,5/1/15,2015,2016,1,Mid Op-Ex,21
350,49420,"Yakima, WA Metro Area",2017,250193,12/1/16,2016,2017,1,Low Op-Ex,22
351,49620,"York-Hanover, PA Metro Area",2017,446078,7/1/15,2015,2016,1,Low Op-Ex,22
352,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",2017,541926,6/1/16,2016,2017,1,Low Op-Ex,22
353,49700,"Yuba City, CA Metro Area",2017,173679,4/1/16,2016,2017,1,Low Op-Ex,22
354,49740,"Yuma, AZ Metro Area",2017,207534,3/1/16,2016,2017,1,Low Op-Ex,22
