,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
412,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2006,0,33,2.5006059999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994
413,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2007,0,33,2.425241000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001
414,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2008,0,33,2.8026210000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016
415,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2009,0,33,3.1757820000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003
416,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2010,0,33,3.3509109999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995
417,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2011,0,33,3.3495450000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004
418,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2012,0,33,3.5205260000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025
419,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2013,0,33,3.616848000000002,-1255.868096121679,39874.63993592336,-55749.07670472722,-14842.327827260226,-13772.16130292084,0.0,-0.001255868096121679,0.03987463993592336,-0.055749076704727216,-0.014842327827260226,-0.013772161302920841,0.0,3.6181038680961235,3.5769733600640783,3.672597076704729,3.631690327827262,3.6306201613029225,3.616848000000002
420,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2014,0,33,3.6350800000000016,10588.169554418311,-3594.199321532039,-58339.95468210023,42649.49118189633,-21695.67621257201,0.0,0.009332301458296631,0.03628044061439132,-0.11408903138682744,0.027807163354636105,-0.03546783751549285,0.0,3.625747698541705,3.5987995593856104,3.749169031386829,3.6072728366453655,3.6705478375154943,3.6350800000000016
421,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2015,0,33,3.614075000000002,-45424.19527040165,-3811.790368995198,34112.7765823406,-48610.2695201347,-133483.9988862939,-120916.3753821127,-0.036091893812105015,0.03246865024539612,-0.07997625480448685,-0.020803106165498596,-0.16895183640178676,-0.12091637538211271,3.650166893812107,3.581606349754606,3.6940512548044886,3.6348781061655004,3.7830268364017887,3.7349913753821147
422,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2016,0,33,3.5625820000000026,30496.88591796079,8553.249082340324,7408.848591915825,23006.54039536584,-35123.74008916484,-120217.6704114102,-0.0055950078941442265,0.04102189932773645,-0.07256740621257102,0.0022034342298672418,-0.20407557649095162,-0.2411340457935229,3.5681770078941466,3.521560100672266,3.6351494062125735,3.5603785657701352,3.766657576490954,3.8037160457935255
423,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2017,0,33,3.867375000000001,169295.86960503546,-2144.76531711555,586366.3214279959,-98307.73273512513,28339.98451072086,-118504.8203730201,0.16370086171089124,0.0388771340106209,0.5137989152154249,-0.09610429850525788,-0.17573559198023075,-0.359638866166543,3.70367413828911,3.82849786598938,3.353576084784576,3.9634792985052587,4.0431105919802315,4.227013866166544
424,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2018,0,33,4.336566000000002,211731.59438125076,2210.774554385649,374865.7449809383,-73449.40905394073,30971.94232334648,-170336.85122669826,0.37543245609214204,0.041087908565006555,0.8886646601963633,-0.1695537075591986,-0.1447636496568843,-0.5299757173932412,3.9611335439078603,4.295478091434996,3.447901339803639,4.5061197075592005,4.481329649656886,4.866541717393243
