,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3755,"Worcester, MA Metro Area-Bus",2004,0,24,3.4480990000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4480990000000027,3.4480990000000027,3.4480990000000027,3.4480990000000027,3.4480990000000027,3.4480990000000027
3756,"Worcester, MA Metro Area-Bus",2005,0,24,3.551146999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.551146999999998,3.551146999999998,3.551146999999998,3.551146999999998,3.551146999999998,3.551146999999998
3757,"Worcester, MA Metro Area-Bus",2006,0,24,3.5328880000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5328880000000025,3.5328880000000025,3.5328880000000025,3.5328880000000025,3.5328880000000025,3.5328880000000025
3758,"Worcester, MA Metro Area-Bus",2007,0,24,3.4902040000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4902040000000008,3.4902040000000008,3.4902040000000008,3.4902040000000008,3.4902040000000008,3.4902040000000008
3759,"Worcester, MA Metro Area-Bus",2008,0,24,3.5608719999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5608719999999976,3.5608719999999976,3.5608719999999976,3.5608719999999976,3.5608719999999976,3.5608719999999976
3760,"Worcester, MA Metro Area-Bus",2009,0,24,3.5670150000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5670150000000014,3.5670150000000014,3.5670150000000014,3.5670150000000014,3.5670150000000014,3.5670150000000014
3761,"Worcester, MA Metro Area-Bus",2010,0,24,3.7274420000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7274420000000013,3.7274420000000013,3.7274420000000013,3.7274420000000013,3.7274420000000013,3.7274420000000013
3762,"Worcester, MA Metro Area-Bus",2011,0,24,3.9963769999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9963769999999976,3.9963769999999976,3.9963769999999976,3.9963769999999976,3.9963769999999976,3.9963769999999976
3763,"Worcester, MA Metro Area-Bus",2012,0,24,3.834744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.834744,3.834744,3.834744,3.834744,3.834744,3.834744
3764,"Worcester, MA Metro Area-Bus",2013,0,24,4.118295999999997,130028.731788978,86176.81890921986,39762.68691095119,-19882.5173009337,-15824.670613147511,0.0,0.130028731788978,0.08617681890921985,0.03976268691095119,-0.0198825173009337,-0.01582467061314751,0.0,3.988267268211019,4.032119181090778,4.078533313089046,4.138178517300931,4.134120670613145,4.118295999999997
3765,"Worcester, MA Metro Area-Bus",2014,0,24,4.333592999999997,130713.25139761707,-2915.906609956335,219125.83447663623,14505.029452782592,-26830.335043760948,0.0,0.2607419831865951,0.08326091229926352,0.25888852138758744,-0.0053774878481511095,-0.042655005656908454,0.0,4.072851016813402,4.250332087700733,4.07470447861241,4.338970487848148,4.3762480056569055,4.333592999999997
3766,"Worcester, MA Metro Area-Bus",2015,0,24,4.354581000000004,-4972.671763614691,24623.780266705835,-18038.1529824715,-19583.05194476719,-162225.54347339,-144151.53392533187,0.25576931142298037,0.10788469256596937,0.2408503684051159,-0.0249605397929183,-0.20488054913029843,-0.14415153392533187,4.098811688577023,4.246696307434035,4.113730631594888,4.379541539792922,4.559461549130303,4.498732533925336
3767,"Worcester, MA Metro Area-Bus",2016,0,24,4.154837,61651.91396952928,4904.000179248234,-56742.43636404258,-53379.833838496364,-48989.903548003706,-144849.67341236395,0.31742122539250966,0.1127886927452176,0.18410793204107334,-0.07834037363141466,-0.2538704526783021,-0.2890012073376958,3.83741577460749,4.042048307254782,3.9707290679589264,4.233177373631414,4.408707452678302,4.443838207337696
3768,"Worcester, MA Metro Area-Bus",2017,0,24,3.683601999999998,-72482.7600889223,6334.422971647772,-36144.03328035429,657.0603145099625,35726.74970752795,-138205.4398647322,0.24493846530358737,0.11912311571686537,0.14796389876071905,-0.0776833133169047,-0.21814370297077418,-0.427206647202428,3.4386635346964103,3.5644788842831323,3.535638101239279,3.7612853133169026,3.901745702970772,4.1108086472024254
3769,"Worcester, MA Metro Area-Bus",2018,0,24,3.3737889999999986,86267.39548204392,13367.405139143324,-43992.69299123296,-11763.977799725584,38506.06442756064,-122530.39883312077,0.3312058607856313,0.13249052085600868,0.10397120576948608,-0.0894472911166303,-0.17963763854321355,-0.5497370460355487,3.042583139214367,3.24129847914399,3.2698177942305127,3.463236291116629,3.553426638543212,3.923526046035547
