CLUSTER_APTA_HML,RAIL_FLAG,Year,CLUSTER_APTA,CLUSTER_GT,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
1,0,2002,200,81,0.0,3337000798.8600016,0.0,2931425508.764761,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2003,200,81,3337000798.8600016,3295684044.8700004,-41316753.990000844,3044565995.059025,113140486.2942636,139051915.2662545,0.8563712759624428,14591205.776223011,1.6440185391738538,18.52650901270684,0.6107395513745332,-49149.38437480107,-4546323.34137053,65752414.23317826,111418616.97691444,-8189143.704138728,-23042073.287868924,141344341.49234372,-3111739.1196388006,-11676437.031310804,56129411.35744362,99995110.55768853,-7843210.569008393,-20352648.900914244,94484700.4314956
1,0,2004,200,81,3295684044.8700004,3330862701.579998,35178656.70999798,3169830685.705175,125264690.64615063,143660336.3069939,0.8943045646136561,14739873.707918838,1.9329400495460967,18.186274420524384,0.5880635534629106,32826181.00850951,-71127154.02799003,83717013.54869008,123185316.0000521,-8184798.676807659,-21707543.080005087,138709014.77244687,29963554.107240282,-64747163.10263515,75238489.58763173,112478937.68159099,-7788050.401805793,-19881077.225869484,106605649.97736791
1,0,2005,200,81,3330862701.579998,3412317264.4300013,81454562.85000259,3372738323.486212,202907637.78103665,145050350.75160462,0.8889659217395411,15025466.271063209,2.3493811949856047,17.97433140471072,0.568657922713976,-4412834.09539704,1125013.8061988335,84772950.98134314,159750720.1070561,-7987803.019326347,-19656235.92863912,213591811.8512341,-10755600.242332773,9500707.79081858,80134938.39693579,150899815.7307039,-7607142.523161785,-19265081.371924583,179292761.30703282
1,0,2006,200,81,3412317264.4300013,3377732342.9699993,-34584921.460002504,2987856828.094919,-384881495.3912926,138795242.42856103,1.4409886722561709,15562341.430144912,2.6653982718885834,17.85565523853718,0.5497199567316295,-31764533.549326755,-524668657.6617347,104043803.89723925,110387989.83645196,-10469425.934728494,-23107300.729556732,-375578124.1416508,-34048110.12839885,-528713177.5721439,102258527.51322354,109171055.58024715,-10635821.781622192,-22913969.00260323,-407738025.78090584
1,0,2007,200,81,3377732342.9699993,3346410507.419999,-31321835.54999961,3559541574.886878,571684746.7919587,149566333.92034647,0.9552590444521518,15442042.049303183,2.8751127358582864,17.60887558354106,0.543259336103695,64543742.51032144,677463244.0747428,26980574.050843548,66982930.49316196,-864368.736075207,-6504719.553072346,828601402.8399197,48325092.167029604,439255359.2519561,29084093.43847644,63827588.85293056,-2343785.218364484,-6463601.700068352,564349842.4256631
1,0,2008,200,81,3346410507.419999,3452291416.820001,105880909.40000175,3725954413.2706704,166412838.38379222,149112832.70191178,0.968024352207815,15341540.193601431,3.3487582471765833,17.45645544374347,0.5308126844989015,17764847.886779904,-24121110.258038733,29655060.372366652,138825453.4571491,4346335.192243571,-10464793.30904054,156005793.34145597,19684500.926069707,-25355666.051629364,31898543.37558411,146818590.17144555,4441948.002382287,-11075078.040055767,154645205.15150446
1,0,2009,200,81,3452291416.820001,3332786402.3600025,-119505014.45999792,3302620391.243016,-423334022.02765524,149711211.1173526,1.038447768437937,15145238.22244791,2.441011204960969,17.524687585152506,0.5204986846258712,5746608.1674099695,-117751740.16524415,-15744529.99997705,-273937522.40431434,6762717.562064189,-9978913.316201799,-404903380.1562628,6959349.910335356,-120688956.82402101,-16996214.25147239,-289404057.5094864,7183116.443833348,-10387259.79684434,-434179547.6168448
1,0,2010,200,81,3332786402.3600025,3241865358.6500006,-90921043.71000251,3304851135.723155,2230744.4801398404,138364223.0214505,1.0846209778537466,15123665.765132887,2.8769738921501378,17.867591220740465,0.518806959669876,-68766879.07957928,-69866183.42641263,-3387034.300001445,142911396.6118319,9692194.765227122,-2995318.606477761,7588175.964593049,-79188305.17482534,-88663988.98622416,-6595776.033204959,168226048.73567224,12115880.059033044,-3663114.120316945,-3919935.000181783
1,0,2011,200,81,3241865358.6500006,3240729678.3099995,-1135680.3400006555,3405986796.77475,101135661.0515953,135712847.5620464,1.1650539673896907,15292338.24785606,3.6249182520338046,18.268916724476743,0.5102267656192977,-27160616.426946416,-107271933.88582715,31957267.00461351,208560188.77059475,11921842.187836066,-8527033.855019392,109479713.79524715,-24572485.83863261,-87966159.68783274,28480767.114384595,181810792.61544672,10766098.968458045,-7383352.120225255,94657334.948924
