,CLUSTER_GT_NEW_11,Mode,Year,Unnamed: 0,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,CBSA,PROBLEM_FLAG,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_ADJ,FARE_per_UPT,FARE_ADJ_ORIGINAL,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_ADJ_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_UPT_ADJ_diff,Bus_UPT_ADJ_log,PCT_Bus_UPT_ADJ_rel_diff,Bus_UPT_ADJ_scale,Bus_VRM_ADJ,Bus_VRM_ADJ_diff,Bus_VRM_ADJ_log,PCT_Bus_VRM_ADJ_rel_diff,Bus_VRM_ADJ_scale,Bus_VRH_ADJ,Bus_VRH_ADJ_diff,Bus_VRH_ADJ_log,PCT_Bus_VRH_ADJ_rel_diff,Bus_VRH_ADJ_scale,Bus_FARE_TOTAL,Bus_FARE_TOTAL_diff,Bus_FARE_TOTAL_log,PCT_Bus_FARE_TOTAL_rel_diff,Bus_FARE_TOTAL_scale,Bus_FARE_per_UPT_2018,Bus_FARE_per_UPT_2018_diff,Bus_FARE_per_UPT_2018_log,PCT_Bus_FARE_per_UPT_2018_rel_diff,Bus_FARE_per_UPT_2018_scale,Bus_AVG_SPEED,Bus_AVG_SPEED_diff,Bus_AVG_SPEED_log,PCT_Bus_AVG_SPEED_rel_diff,Bus_AVG_SPEED_scale,Rail_UPT_ADJ,Rail_UPT_ADJ_diff,Rail_UPT_ADJ_log,PCT_Rail_UPT_ADJ_rel_diff,Rail_UPT_ADJ_scale,Rail_VRM_ADJ,Rail_VRM_ADJ_diff,Rail_VRM_ADJ_log,PCT_Rail_VRM_ADJ_rel_diff,Rail_VRM_ADJ_scale,Rail_VRH_ADJ,Rail_VRH_ADJ_diff,Rail_VRH_ADJ_log,PCT_Rail_VRH_ADJ_rel_diff,Rail_VRH_ADJ_scale,Rail_FARE_TOTAL,Rail_FARE_TOTAL_diff,Rail_FARE_TOTAL_log,PCT_Rail_FARE_TOTAL_rel_diff,Rail_FARE_TOTAL_scale,Rail_FARE_per_UPT_2018,Rail_FARE_per_UPT_2018_diff,Rail_FARE_per_UPT_2018_log,PCT_Rail_FARE_per_UPT_2018_rel_diff,Rail_FARE_per_UPT_2018_scale,Rail_AVG_SPEED,Rail_AVG_SPEED_diff,Rail_AVG_SPEED_log,PCT_Rail_AVG_SPEED_rel_diff,Rail_AVG_SPEED_scale,CLUSTER_GT_NEW_11.1,CLUSTER_GT_ORIGINAL.1,CLUSTER_APTA.1,min_year,VRM_ADJ_LAGGED_1,VRM_ADJ_LAGGED_2,VRM_ADJ_LAGGED_3,FARE_per_UPT_LAGGED_1,FARE_per_UPT_LAGGED_2,FARE_per_UPT_LAGGED_3,AVG_SPEED_LAGGED_1,AVG_SPEED_LAGGED_2,AVG_SPEED_LAGGED_3,TNC_FLAG_LAGGED_1,TNC_FLAG_LAGGED_2,TNC_FLAG_LAGGED_3,FARE_per_UPT_2018_LAGGED_1,FARE_per_UPT_2018_LAGGED_2,FARE_per_UPT_2018_LAGGED_3,dockCt_LAGGED_1,dockCt_LAGGED_2,dockCt_LAGGED_3,docklessCt_LAGGED_1,docklessCt_LAGGED_2,docklessCt_LAGGED_3,scooterCt_LAGGED_1,scooterCt_LAGGED_2,scooterCt_LAGGED_3,TNC_FLAG_LAGGED_4,TNC_FLAG_LAGGED_5
0,1,Bus,2002,62619,33,891,882140,3,208610154.3,117063862.9,208610154.3,117063862.9,8721491.752,485302919.7,158.01,497212581,17952281585,17084512.99,11587571.14,4154599.672,187430.5625,804720.6251,802853.7188,910717.5938,18192781.46,441.52,283.27,2575.33,866.43,2029.73,403.86,7372475.21,598650.64,2416966.83,2919157,1029592.5,408108.23,269.88,1285224.688,1668341.859,1496.69,1479.28,324.04,538161.6,9055652.58,9593814.15,192.02,3107.98,45.94,0,3839552,447.77,46.2,66495,0,0,679424087.6,1126608.875,1123995.206,1275004.631,1799314.563,2335678.603,64.316,221.214,0,0,0,42362,0,0,0,0,0,208610154.3,0,0,0,114843366,117063862.9,0,0,0,-71446303.5,8721491.752,0,0,0,-2007728.25,157032597,0,0,0,-158550150,91.67208298,0,0,0,-670.5608712,447.77,0,0,0,-726,0,0,0,0,-6562773360,0,0,0,0,8979159222,0,0,0,0,691940211.6,0,0,0,0,-1.6119E+11,0,0,0,0,-781.7599878,0,0,0,0,-2046,33,33,891,66066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13
1,1,Bus,2003,65936,34,922,921880,2,206362168.2,118062306.1,206362168.2,118062306.1,8826408.788,500196212.6,621.5061,500196212.6,18218779881,17987649.94,12203175.81,4337832.125,219059.125,818797.25,814895.8125,919458.5,18713710.72,460.44,293.02,2646.65,868.17,2104.22,427.67,7539302.99,620350.1,2485185.97,2966150.55,1049415.79,418200.73,283.15,1390445,1803965.25,1487.84,1531.99,380.25,589923.84,9229416.43,9819340.26,206.83,3193.17,54.87,0,3910306,468.22,46.58,68510,0,0,685268811.3,1121752.233,1116407.263,1259658.145,1904909.65,2471432.393,75.1719,851.463357,0,0,0,42362,0,0,0,0,0,206362168.2,-4749270.865,-2.247320314,352.9968955,118323468,118062306.1,-402592.0996,0.907176463,317.0115902,-73611343,8826408.788,-19193.2568,0.420587605,356.8679124,-2068568.5,156630582,-2161282,1.123468105,310.2967709,-163354700,224.6159658,131.9802997,2.655959022,2155.541127,-690.8808976,468.22,9.16,0.489902248,73.42223897,-748,0,0,0,0,-6761645280,0,0,0,0,9251254956,0,0,0,0,712908096.8,0,0,0,0,-1.66074E+11,0,0,0,0,-805.4496844,0,0,0,0,-2108,34,34,922,68069,117063862.9,114667551.8,112063972.8,158.01,124.6618,125.4599,447.77,509.96,513.14,0,32,32,221.214,124.6618,127.969098,0,410,332,0,2,2,0,15,0,28,24
2,1,Bus,2004,75888,37,1011,1041100,2,226574389.9,125373359.5,226574389.9,125373359.5,9630958.965,545637968.9,117.4989,523837448.9,18915232747,19259616.75,12904523.5,4767475.75,241659.75,882590.25,874133.25,973340,19575657.75,503.09,320.15,2877.25,917.59,2301.32,481.35,7847601,651639.5,2616674.5,3059437.25,1082349,437500.75,312.55,1579298.5,2057212.5,1565.05,1666.03,469.16,584367.56,9649318.84,10233686.42,215.07,3484.93,70.45,0,4029680,495.53,49.21,74558,0,0,725698498.6,1173845.033,1162597.223,1294542.2,2100467.005,2736092.625,93.6985,156.273537,0,0,0,44380,0,0,0,0,0,226574389.9,11336407.36,11.39863697,14820.45489,128763774,125373359.5,2457646.125,3.190238225,2866.773483,-80106461.5,9630958.965,441558.3298,4.265165425,2675.261241,-2251089.25,162344771,-1154477,-3.513697789,-23.26717997,-177768350,46.28490752,-181.4403438,-15.91981586,-495.88376,-751.8409768,495.53,-16.05,-1.075398648,-69.41929432,-814,0,0,0,0,-7358261040,0,0,0,0,10067542158,0,0,0,0,775811752.4,0,0,0,0,-1.80728E+11,0,0,0,0,-876.5187742,0,0,0,0,-2294,37,37,1011,74081,118062306.1,120920148.4,118413349.3,621.5061,160.2662,126.9657,468.22,459.64,521.86,0,1,33,851.463357,223.4702,127.011778,0,0,410,0,0,2,0,1,15,35,30
3,1,Bus,2005,75925,37,1011,1041100,1,239291577.6,124349154.7,239291577.6,124349154.7,9221321.205,574679797.3,79.6362,542860137.3,18915232747,19811272,13224451,4920915,258142,874715,862603,957950,19733179,509.3,317.9,2872.8,892.4,2314.8,492.8,7869822,659594,2644983,3048001,1077185,440059,316.21,1637521,2141623,1513.2,1673.6,513.2,563932.91,9760365.59,10324298.48,202.41,3497.59,85.83,391123.2,3999349,502.47,47.73,74558,0,0,741336938.5,1128382.35,1112757.87,1235755.5,2112402.09,2762693.67,110.7207,102.730698,0,0,0,44380,0,0,0,0,0,239291577.6,12717187.66,3.377374385,1409.839657,128763774,124349154.7,-1024204.819,-0.233518679,-14.337437,-80106461.5,9221321.205,-409637.76,-0.894693696,-56.50809949,-2251089.25,168983632,6638861,0.961515597,122.098903,-177768350,32.23639007,-14.04851746,-3.545717481,-153.2180476,-751.8409768,502.47,6.94,0.661493004,101.0086445,-814,0,0,0,0,-7358261040,0,0,0,0,10067542158,0,0,0,0,775811752.4,0,0,0,0,-1.80728E+11,0,0,0,0,-876.5187742,0,0,0,0,-2294,37,37,1011,74081,125373359.5,125481996.1,128239132.4,117.4989,636.6557,174.6208,495.53,515.15,506.45,0,3,4,156.273537,866.612957,238.111892,0,110,50,0,1,1,0,0,1,36,35
4,1,Bus,2006,75962,37,1011,1041100,0,248140058,124769293.2,248140058,124769293.2,9317004.21,590320975.4,81.081,590320975.4,18915232747,20521628,13651735,5113219,274908,847271,831977,917485,19919062,525.5,316.1,2858,860.6,2332.2,507.2,7897047,667924,2689937,3028692,1068958,441536,320.57,1684058,2203918,1470.9,1680,549.1,532097.33,9927700.1,10459797.42,187.95,3512.05,97.37,391123.2,3969018,501.43,46.25,74558,0,0,737901219.3,1059088.75,1039971.25,1146856.25,2105072.5,2754897.5,121.7125,101.35125,0,0,0,44380,0,0,0,0,0,248140058,8848480.445,1.128117314,119.6199639,128763774,124769293.2,420138.5364,0.231257509,28.24420051,-80106461.5,9317004.21,95683.0058,0.33203212,36.83634446,-2251089.25,183044002,14060370,5.391083998,12771.71437,-177768350,32.5752873,0.338897228,3.097515897,11243.33807,-751.8409768,501.43,-1.04,-0.102372915,-8.075866183,-814,0,0,0,0,-7358261040,0,0,0,0,10067542158,0,0,0,0,775811752.4,0,0,0,0,-1.80728E+11,0,0,0,0,-876.5187742,0,0,0,0,-2294,37,37,1011,74081,124349154.7,125373359.5,125481996.1,79.6362,117.4989,636.6557,502.47,495.53,515.15,0,0,3,102.730698,156.273537,866.612957,0,0,110,0,0,1,0,0,0,4,36
5,1,Bus,2007,77826,38,1042,1068160,1,252757578,127064939.3,252757578,127064939.3,9488752.165,660174969.4,92.634,660174969.4,18978896052,20698236,13706938,5179524,292197,917448,897849,993341,20080621,523.5,318.2,2958.5,870.9,2409.3,519.8,7941900,680210,2680727,3055934,1076433,448596,337.57,1820729,2417723,1432.4,1731.8,635.8,528290.09,10058360.1,10586650.14,187.44,3612.56,108.47,392441.6,3953657,521.04,45.98,76575,0,0,798811712.9,1110112.08,1086397.29,1201942.61,2203082.09,2925444.83,131.2487,112.08714,0,0,0,46398,0,0,0,0,0,252757578,1512579.964,0.188900833,24.7018675,132243876,127064939.3,760193.056,0.501928479,63.39128333,-82271501,9488752.165,56300.955,0.042739,13.59533026,-2311929.5,201168474,14926974,4.48354305,1082.128528,-182572900,35.40143451,1.580077217,3.091284126,896.7724269,-772.1610032,521.04,6.31,0.458940903,50.32689229,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,124769293.2,124349154.7,125373359.5,81.081,79.6362,117.4989,501.43,502.47,495.53,0,0,0,101.35125,102.730698,156.273537,0,0,0,0,0,0,0,0,0,3,4
6,1,Bus,2008,77864,38,1042,1068160,0,269752850.7,128583978.6,269752850.7,128583978.6,9541653.189,726038854.1,95.0116,726038854.1,18978896052,20806302,13767537,5208007,296982,942979,925369,1027606,20145183,539,321.7,2939.3,860.1,2409.6,530.3,7994012,684218,2718366,3062366,1092209,436853,338.29,1878308,2475060,1394,1736.5,669.5,658171.42,10018952.64,10677124.06,229,3571,125.92,392441.6,3923940,525.04,44.46,76575,0,0,849465459.3,1103285.43,1082681.73,1202299.02,2197620.36,2895820.2,147.3264,111.163572,0,0,0,46398,0,0,0,0,0,269752850.7,16995272.71,2.557586641,274.964664,132243876,128583978.6,1519039.323,0.167475739,27.18206886,-82271501,9541653.189,52901.0236,-0.11329973,-1.887819568,-2311929.5,219519167,18350693,3.090460175,339.8821376,-182572900,34.83969199,-0.561742521,-0.744557674,-39.40653421,-772.1610032,525.04,4,0.281838906,31.48789235,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,127064939.3,126373887.2,125950772.7,92.634,82.5433,81.0275,521.04,512.69,513.74,0,1,1,112.08714,102.81355,104.149824,0,0,0,0,0,0,0,0,0,1,3
7,1,Bus,2009,77902,38,1042,1068160,0,256220074.8,127236516.3,256220074.8,127236516.3,9528696.756,748496903.1,103.2077,748496903.1,18978896052,20960644,13905224,5169324,294689,902367,888103,977128,20307767,582.7,341,2876.5,859.4,2404.6,536,8002110,696737,2757971,3033452,1076522,437428,337.46,1803673,2395501,1459.1,1693.6,647.3,1000650.9,9662498.06,10663149.02,348.43,3451.57,91.4,392441.6,3894223,521.32,44.46,76575,0,0,875741376.6,1055769.39,1039080.51,1143239.76,2110297.41,2802736.17,106.938,120.753009,0,0,0,46398,0,0,0,0,0,256220074.8,-13532775.92,-1.828597705,-166.8360153,132243876,127236516.3,-1347462.363,4.36E-05,8.256141785,-82271501,9528696.756,-12956.433,0.320338889,40.6565434,-2311929.5,226287093,6767926,1.256902357,146.3877178,-182572900,37.91241457,3.072722578,3.085500054,353.4791466,-772.1610032,521.32,-3.72,-0.320740013,-28.95561752,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,128583978.6,127064939.3,126373887.2,95.0116,92.634,82.5433,525.04,521.04,512.69,0,0,1,111.163572,112.08714,102.81355,0,0,0,0,0,0,0,0,0,1,1
8,1,Bus,2010,77940,38,1042,1068160,0,249598781.5,124994305.7,249598781.5,124994305.7,9496300.098,767986505.4,104.2894,767986505.4,18978896052,21096196,13891841,5228930,317442,908292,890091,992133,20462032,0,0,0,853.8,2402.6,543.6,8063505,730996,2783433,3041738,1071413,435925,362.24,1792008,2379107,1467.4,1688,644.6,1046448.65,9619363.41,10665812.09,366.48,3433.52,108.17,392441.6,3864506,516.5,43.7,76575,0,0,883184481.2,1044535.8,1023604.65,1140952.95,2060809.2,2735973.05,124.3955,119.93281,0,0,0,46398,0,0,0,0,0,249598781.5,-6621293.282,-0.033517061,6.383697875,132243876,124994305.7,-2242210.597,0.618625307,85.74082045,-82271501,9496300.098,-32396.6584,0.906708345,106.6629031,-2311929.5,228842145,2555052,-0.075539064,1.928937986,-182572900,37.21933472,-0.693079853,-0.697210606,-53.24109629,-772.1610032,516.5,-4.82,-0.288918711,-20.66162708,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,127236516.3,128583978.6,127064939.3,103.2077,95.0116,92.634,521.32,525.04,521.04,0,0,0,120.753009,111.163572,112.08714,0,0,0,0,0,0,0,0,0,1,1
9,1,Bus,2011,77978,38,1042,1068160,0,254979176.2,123711370.2,254979176.2,123711370.2,9443435.84,785106175.8,105.1821,785106175.8,18978896052,21153882,13988582,5175377,323087,917685,906287,997497,20544206,0,0,0,842,2408.7,549.3,8029249,726681,2818992,3017425,1045245,420906,356.19,1811570,2433100,1455.8,1665.4,678.8,964433.99,9642094,10606528,337.37,3462.63,136.84,392441.6,3834789,516.31,42.56,76575,0,0,879318916.9,1027807.2,1015041.44,1117196.64,2028958.4,2725072,153.2608,117.803952,0,0,0,46398,0,0,0,0,0,254979176.2,5380394.685,1.087014809,116.6338877,132243876,123711370.2,-1282935.472,-0.206614309,-13.8796904,-82271501,9443435.84,-52864.2575,-0.114978356,-6.805223977,-2311929.5,235153701,6311556,1.645489207,177.1283368,-182572900,36.59839579,-0.620938923,-0.445989372,-33.70852888,-772.1610032,516.31,-0.19,-0.090720355,1.286104737,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,124994305.7,127236516.3,128583978.6,104.2894,103.2077,95.0116,516.5,521.32,525.04,0,0,0,119.93281,120.753009,111.163572,0,0,0,0,0,0,0,0,0,0,1
10,1,Bus,2012,78016,38,1042,1068160,0,261119517.8,123488396.4,261119517.8,123488396.4,9478838.945,837866786.3,111.0996,837866786.3,18978896052,21207527,13997729,5205839,313314,947033,926523,1033046,20600914,0,0,0,833.1,2397.3,569.6,8113535,744104,2837206,3028903,1073992,429330,360.06,1859551,2492992,1419.6,1678.4,702,873740.35,9684267.22,10558007.58,313.88,3486.12,141.41,392441.6,3842531,513.06,41.42,76575,0,0,913274797.1,1032265.97,1009910.07,1126020.14,2026910.59,2717361.28,154.1369,121.098564,0,0,0,46398,0,0,0,0,0,261119517.8,6140341.64,0.370014564,44.08519381,132243876,123488396.4,-222973.7966,-0.272645158,-23.07344718,-82271501,9478838.945,35403.1053,-0.114527241,-7.120830702,-2311929.5,253525100,18371399,2.823672337,315.6322479,-182572900,37.84764478,1.249248984,1.421920189,170.4175715,-772.1610032,513.06,-3.25,-0.155910533,-11.42149453,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,123711370.2,124994305.7,127236516.3,105.1821,104.2894,103.2077,516.31,516.5,521.32,0,0,0,117.803952,119.93281,120.753009,0,0,0,0,0,0,0,0,0,0,0
11,1,Bus,2013,78054,38,1042,1068160,0,260795472.7,123732442.4,260795472.7,123732442.4,9554999.99,860045606.2,113.4618,860045606.2,18978896052,21163333,13950267,5149301,342139,950113,934714,1043916,20536682,634.4,359.3,2805.9,825.3,2390.5,584.2,8060471,738173,2792463,3020745,1069332,439758,362.69,1893202,2574369,1392.6,1662.5,744.9,821295.57,9689663.57,10510959.17,297.72,3502.28,137.22,392441.6,3844637,509.68,41.04,76575,1,0,928849254.6,1026122.04,1009491.12,1127429.28,2044658.16,2780318.52,148.1976,122.538744,0,0,0,46398,0,0,0,0,0,260795472.7,-324045.0928,-0.216872693,-16.80781399,132243876,123732442.4,244046.0072,0.011460769,10.22721031,-82271501,9554999.99,76161.0448,0.268398279,30.60303107,-2311929.5,258179701,4654601,0.432169752,50.98668228,-182572900,38.16428271,0.316637929,0.298809549,41.11693726,-772.1610032,509.68,-3.38,-0.256754825,-21.26796132,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,123488396.4,123711370.2,124994305.7,111.0996,105.1821,104.2894,513.06,516.31,516.5,0,0,0,121.098564,117.803952,119.93281,0,0,0,0,0,0,0,0,0,0,0
12,1,Bus,2014,78092,38,1042,1068160,0,260718233.6,125424202.4,260718233.6,125424202.4,9708728.038,857746677.3,114.2881,857746677.3,18978896052,21210729,13960636,5142879,356669,981597,964412,1067723,20577252,616.9,351.6,2831.5,821,2380.3,598.7,8102593,742877,2809260,3006369,1089592,454495,370.06,1936418,2620093,1363,1663.4,773.6,671004.44,9819011.19,10490015.6,244.59,3555.41,132.23,392441.6,3856027,508.32,40.28,76575,17,1,909211477.9,1040492.82,1022276.72,1131786.38,2052603.08,2777298.58,140.1638,121.145386,0,0,0,46398,0,1,0,0,0,260718233.6,-77239.1636,-0.217228311,-16.30118286,132243876,125424202.4,1691759.966,0.413966378,45.22760188,-82271501,9708728.038,153728.0476,0.504582467,53.98517083,-2311929.5,259205625,1025924,0.644304099,77.62438038,-182572900,38.01284115,-0.151441552,0.151231359,25.68388837,-772.1610032,508.32,-1.36,-0.092526391,-8.361733769,-836,0,0,0,0,-7557132960,0,0,0,0,10339637892,0,0,0,0,796779637.6,0,0,0,0,-1.85613E+11,0,0,0,0,-900.2084708,0,0,0,0,-2356,38,38,1042,76088,123732442.4,123488396.4,123711370.2,113.4618,111.0996,105.1821,509.68,513.06,516.31,1,0,0,122.538744,121.098564,117.803952,0,0,0,0,0,0,0,0,0,0,0
13,1,Bus,2015,80345,39,1074,1098500,1,251622678,129554055.9,251622678,129554055.9,10028765.67,859313296.7,118.5909,859313296.7,19070192987,21378475,14019631,5207971,351872,1041018,1020357,1129591,20737343,621.7,331.5,2947.1,835.7,2433.9,630.4,8157320,736695,2812010,3040162,1098421,470032,370.21,2058539,2764341,1344.2,1722.9,832.9,578364.84,9979782.89,10558147.7,216.45,3683.55,98.46,394195.2,3889666,519.3,41.34,78591,25,18,910872094.4,1103479.08,1081578.42,1197366.46,2182051.34,2930201.46,104.3676,125.706354,88,0,0,46398,0,2,0,0,0,251622678,-9123001.054,-1.7698638,-167.3687159,135723978,129554055.9,4110018.366,0.697000345,78.7035836,-84436540.5,10028765.67,318363.9782,0.753590606,82.84005043,-2372769.75,258054151,-1364921,-0.674447263,-36.41992371,-187377450,47.68303641,1.426452736,1.095416533,146.9452979,-792.4810296,519.3,-0.87,-0.055754555,-4.132072412,-858,0,0,0,0,-7756004880,0,0,0,0,10611733626,0,0,0,0,817747522.8,0,0,0,0,-1.90497E+11,0,0,0,0,-923.8981674,0,0,0,0,-2418,39,39,1074,78103,125424202.4,123732442.4,123488396.4,114.2881,113.4618,111.0996,508.32,509.68,513.06,17,1,0,121.145386,122.538744,121.098564,0,0,0,0,0,0,0,0,0,0,0
14,1,Bus,2016,80384,39,1074,1098500,1,242359187,133817707.6,242359187,133817707.6,10379586.71,858712567.7,128.4606,858712567.7,19070192987,21389074,14030005,5207053,356879,1068392,1047986,1157202,20755797,602.9,330.8,2966.4,830.9,2422.8,646.3,8205032,723364,2825529,3027458,1127938,500743,357,2106952,2853238,1308.6,1718,873.4,544690.49,10105219.34,10649909.83,205.3,3694.7,88.53,394195.2,3892180,518.23,40.95,78591,30,43,901648196,1121811.6,1100385.3,1215062.1,2212299.6,2995899.9,92.9565,134.88363,97,0,0,46398,0,5,0,0,0,242359187,-9263491.069,-0.608465061,256.4166267,135723978,133817707.6,4263651.714,2.59449964,727.2300416,-84436540.5,10379586.71,350821.0371,2.721133585,861.45961,-2372769.75,254096887,-3957264,-0.064869731,46.17981908,-187377450,44.39055452,-3.292481892,0.17392432,128.8457428,-792.4810296,518.23,-1.07,-0.129855123,-10.64836086,-858,0,0,0,0,-7756004880,0,0,0,0,10611733626,0,0,0,0,817747522.8,0,0,0,0,-1.90497E+11,0,0,0,0,-923.8981674,0,0,0,0,-2418,39,39,1074,78103,129554055.9,125930048.1,124225503.3,118.5909,117.7888,117.1564,519.3,525.38,526.64,25,18,2,125.706354,124.646086,126.307236,88,0,0,0,0,0,0,0,0,1,0
15,1,Bus,2017,80423,39,1074,1098500,0,232099433.8,134892214,232099433.8,134892214,10411224.6,852131631.5,130.2741,852131631.5,19070192987,21471200,14010367,5235978,367714,1098486,1086505,1179675,20834113,563.7,339.2,2997.3,824.2,2411.3,664.5,8256175,715804,2769483,3099320,1159450,512118,354.18,2165313,2944947,1268.9,1709.4,921.7,514274.9,10214950.42,10729225.33,190.61,3709.39,99.83,394195.2,3894902,523.65,39.78,78591,38,73,869174264.1,1120455.72,1108235.1,1203268.5,2208619.26,3003845.94,101.8266,132.879582,242,2,0,46398,0,11,0,0,0,232099433.8,-10259753.16,-4.139223457,-192.0751119,135723978,134892214,1074506.407,-1.627812364,-9.138983452,-84436540.5,10411224.6,31637.8957,-2.01168245,-39.2462479,-2372769.75,244514794,-7151406,-2.145722735,-46.05886468,-187377450,45.56020162,1.953332894,1.221533373,171.7220044,-792.4810296,523.65,5.42,0.386728679,40.83703886,-858,0,0,0,0,-7756004880,0,0,0,0,10611733626,0,0,0,0,817747522.8,0,0,0,0,-1.90497E+11,0,0,0,0,-923.8981674,0,0,0,0,-2418,39,39,1074,78103,133817707.6,129554055.9,125930048.1,128.4606,118.5909,117.7888,518.23,519.3,525.38,30,25,18,134.88363,125.706354,124.646086,97,88,0,0,0,0,0,0,0,2,1
16,1,Bus,2018,80462,39,1074,1098500,1,227497263.8,135907680.9,227497263.8,135907680.9,10431187.87,848540798.8,71.0545,848540798.8,19070192987,21535444.25,13998232,5257442.25,377092,1127900,1122301.5,1203432.5,20897463.5,529.69,345.43,3025.4,818.05,2399.97,682.21,8306460.25,706801.25,2730828.25,3150040.5,1190463.25,528327,348.01,2221187,3035953,1230.3,1701.8,968.14,472375.38,10309820.66,10782196.02,173.82,3726.18,112.05,0,3897572,524.5,39,78591,39,111,848540798.8,1127900,1122301.5,1203432.5,2221187,3035953,112.05,71.0545,413,0,7,46398,0,20,3196,846,2604,227497263.8,-4602170.012,-0.608803233,-57.36334795,135723978,135907680.9,1015466.824,1.039230165,121.6865204,-84436540.5,10431187.87,19963.2642,0.99464988,119.3339888,-2372769.75,236338908.3,-4158007.75,-0.099644009,-1.710856622,-187377450,12.81294489,-0.117489572,-0.249794866,-17.68036522,-792.4810296,524.5,0.85,0.042605405,6.735605707,-858,0,0,0,0,-7756004880,0,0,0,0,10611733626,0,0,0,0,817747522.8,0,0,0,0,-1.90497E+11,0,0,0,0,-923.8981674,0,0,0,0,-2418,39,39,1074,78103,134892214,133817707.6,129554055.9,130.2741,128.4606,118.5909,523.65,518.23,519.3,38,30,25,132.879582,134.88363,125.706354,242,97,88,2,0,0,0,0,0,18,2
17,1,Rail,2002,3620,2,56,53320,0,409191.4794,635361.3828,409191.4794,635361.3828,14412.3592,3071354.633,12.5999,3071354.633,1369775416,1147005.031,760466.5626,268976.3125,34873.29688,55224.70313,54151.09376,54455.5625,1258307.83,21.08,12.05,166.85,51,117.47,31.52,514341.25,43378.05,154869.38,196122.1,76488.45,43483.28,15.79,92576.09375,115589.5,81.09,95.07,23.84,31212.58,634981.75,666194.33,11.54,188.46,2.82,0,278100,48.63,2.8,4030,0,0,4299896.486,77314.58438,75811.53126,76237.7875,129606.5313,161825.3,3.948,17.63986,0,0,0,2018,0,0,0,0,0,0,0,0,0,6960204,0,0,0,0,-4330079,0,0,0,0,-121680.5,0,0,0,0,-9609100,0,0,0,0,-40.6400528,0,0,0,0,-44,409191.4794,0,0,0,-397743840,635361.3828,0,0,0,544191468,14412.3592,0,0,0,41935770.4,1026387,0,0,0,-9769084700,5.640981151,0,0,0,-47.3793932,48.63,0,0,0,-124,2,2,56,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
