UZA Name,RailBus,5 digit NTD ID,UZA,JAN02,FEB02,MAR02,APR02,MAY02,JUN02,JUL02,AUG02,SEP02,OCT02,NOV02,DEC02,JAN03,FEB03,MAR03,APR03,MAY03,JUN03,JUL03,AUG03,SEP03,OCT03,NOV03,DEC03,JAN04,FEB04,MAR04,APR04,MAY04,JUN04,JUL04,AUG04,SEP04,OCT04,NOV04,DEC04,JAN05,FEB05,MAR05,APR05,MAY05,JUN05,JUL05,AUG05,SEP05,OCT05,NOV05,DEC05,JAN06,FEB06,MAR06,APR06,MAY06,JUN06,JUL06,AUG06,SEP06,OCT06,NOV06,DEC06,JAN07,FEB07,MAR07,APR07,MAY07,JUN07,JUL07,AUG07,SEP07,OCT07,NOV07,DEC07,JAN08,FEB08,MAR08,APR08,MAY08,JUN08,JUL08,AUG08,SEP08,OCT08,NOV08,DEC08,JAN09,FEB09,MAR09,APR09,MAY09,JUN09,JUL09,AUG09,SEP09,OCT09,NOV09,DEC09,JAN10,FEB10,MAR10,APR10,MAY10,JUN10,JUL10,AUG10,SEP10,OCT10,NOV10,DEC10,JAN11,FEB11,MAR11,APR11,MAY11,JUN11,JUL11,AUG11,SEP11,OCT11,NOV11,DEC11,JAN12,FEB12,MAR12,APR12,MAY12,JUN12,JUL12,AUG12,SEP12,OCT12,NOV12,DEC12,JAN13,FEB13,MAR13,APR13,MAY13,JUN13,JUL13,AUG13,SEP13,OCT13,NOV13,DEC13,JAN14,FEB14,MAR14,APR14,MAY14,JUN14,JUL14,AUG14,SEP14,OCT14,NOV14,DEC14,JAN15,FEB15,MAR15,APR15,MAY15,JUN15,JUL15,AUG15,SEP15,OCT15,NOV15,DEC15,JAN16,FEB16,MAR16,APR16,MAY16,JUN16,JUL16,AUG16,SEP16,OCT16,NOV16,DEC16,JAN17,FEB17,MAR17,APR17,MAY17,JUN17,JUL17,AUG17,SEP17,OCT17,NOV17,DEC17,JAN18,FEB18,MAR18,APR18,MAY18,JUN18,JUL18,AUG18,SEP18,OCT18,NOV18,DEC18,JAN19,FEB19,MAR19
"Aberdeen-Bel Air South-Bel Air North, MD",Bus,60148,338,15406.0,15604.0,16421.0,16711.0,17045.0,14309.0,18398.0,18087.0,19232.0,21430.0,17241.0,16558.0,17692.0,14921.0,19131.0,21392.0,19626.0,19560.0,20805.0,19693.0,19156.0,23051.0,17001.0,18173.0,15979.0,18528.0,22618.0,22032.0,19833.0,22196.0,21279.0,21552.0,21652.0,23220.0,20810.0,20469.0,19568.0,18200.0,22871.0,23299.0,22546.0,23569.0,22353.0,26076.0,25489.0,22481.0,20106.0,19916.0,23582.0,22469.0,27380.0,23856.0,28605.0,26302.0,21132.0,24752.0,24153.0,27111.0,23917.0,23532.0,24219.0,19590.0,23999.0,24867.0,25750.0,25308.0,26106.0,27756.0,24560.0,28971.0,24475.0,21946.0,25041.0,24987.0,26345.0,27592.0,25387.0,25196.0,26570.0,25203.0,27401.0,29614.0,22744.0,24396.0,21542.0,23515.0,24578.0,26788.0,24806.0,25356.0,26326.0,24615.0,25271.0,26253.0,22799.0,22806.0,21479.0,16057.0,27092.0,25463.0,22199.0,25354.0,24353.0,25771.0,27644.0,28703.0,25377.0,23445.0,21356.0,21477.0,29252.0,27594.0,27055.0,28956.0,27727.0,31917.0,33352.0,32629.0,29235.0,27712.0,27200.0,29326.0,31830.0,31337.0,31703.0,29104.0,30166.0,34334.0,32499.0,33071.0,29000.0,25727.0,29217.0,28767.0,28518.0,33280.0,32740.0,28504.0,31052.0,32364.0,34019.0,37651.0,28600.0,25174.0,23279.0,22805.0,26917.0,31941.0,30483.0,29458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abilene, TX",Bus,120080,564,55193.0,49267.0,48360.0,54343.0,54213.0,44965.0,45198.0,50893.0,47787.0,53757.0,49120.0,47121.0,50657.0,44076.0,50633.0,51689.0,48711.0,43409.0,48594.0,50281.0,50746.0,53025.0,42974.0,49319.0,48301.0,44818.0,51688.0,50019.0,47718.0,45989.0,46515.0,48273.0,49623.0,51242.0,46038.0,51212.0,48878.0,47832.0,55629.0,55619.0,51407.0,48586.0,43316.0,52097.0,54768.0,55125.0,54044.0,51539.0,54518.0,49939.0,54290.0,49411.0,53890.0,48192.0,44779.0,53428.0,48223.0,54935.0,49118.0,43067.0,44806.0,45420.0,50604.0,50876.0,55468.0,49649.0,46053.0,54924.0,53273.0,56847.0,47163.0,45148.0,51366.0,49509.0,46224.0,50488.0,49601.0,46722.0,45440.0,44613.0,49533.0,54853.0,42959.0,45183.0,45729.0,47035.0,48122.0,49916.0,47019.0,47739.0,47433.0,46983.0,52501.0,55386.0,48804.0,47275.0,43641.0,40843.0,48115.0,47375.0,44399.0,46539.0,46032.0,50686.0,48113.0,47036.0,47860.0,50099.0,50174.0,40339.0,53563.0,47426.0,47921.0,46359.0,44060.0,49288.0,50267.0,51750.0,48009.0,46905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Akron, OH",Bus,300082,426,558241.0,500037.0,533786.0,531486.0,482851.0,572509.0,465121.0,479179.0,561662.0,648567.0,568322.0,384265.0,559443.0,485082.0,575919.0,562648.0,551005.0,464243.0,450714.0,477732.0,589963.0,671685.0,536623.0,516099.0,522821.0,505986.0,631622.0,544596.0,535589.0,496914.0,480187.0,528851.0,719913.0,727695.0,683193.0,557822.0,607203.0,614642.0,595611.0,666954.0,545486.0,453609.0,419046.0,485329.0,709614.0,727405.0,669993.0,545539.0,694859.0,614485.0,711361.0,592064.0,575911.0,472527.0,412706.0,507187.0,642534.0,686238.0,616451.0,540664.0,567758.0,536979.0,627793.0,602183.0,568840.0,454060.0,431700.0,534428.0,643818.0,732629.0,632063.0,521384.0,572764.0,621159.0,645864.0,648039.0,612550.0,534558.0,505976.0,521751.0,650117.0,752929.0,582344.0,512302.0,506412.0,581374.0,589777.0,587872.0,509422.0,446949.0,438282.0,450338.0,641609.0,666121.0,577735.0,523738.0,510264.0,586605.0,650723.0,602625.0,488990.0,436258.0,423571.0,465604.0,644683.0,660625.0,607330.0,498771.0,546460.0,557220.0,640434.0,609671.0,497430.0,463848.0,430138.0,515249.0,680650.0,682595.0,624248.0,531055.0,591291.0,581627.0,623846.0,600436.0,531400.0,476738.0,464928.0,568876.0,638823.0,732267.0,648042.0,506449.0,578053.0,587978.0,612578.0,648267.0,554763.0,446083.0,476765.0,563627.0,661834.0,730539.0,601478.0,513325.0,529835.0,591995.0,608502.0,647271.0,547613.0,482846.0,497078.0,552375.0,688247.0,721409.0,588457.0,529974.0,554707.0,557366.0,614636.0,632696.0,499701.0,482142.0,508225.0,522048.0,669453.0,693836.0,586143.0,540515.0,490429.0,583449.0,570392.0,567775.0,502754.0,461172.0,447427.0,531870.0,626588.0,636635.0,585065.0,464596.0,497603.0,570089.0,562454.0,551054.0,513053.0,453939.0,432920.0,518276.0,612972.0,646389.0,575418.0,471514.0,494588.0,548714.0,559697.0,556675.0,522970.0,439664.0,438376.0,555433.0,574940.0,654482.0,554343.0,466101.0,480747.0,530635.0,525611.0
"Akron, OH",Other,50010,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6533.0,5655.0,6867.0,6369.0,6322.0,5910.0,5288.0,5695.0,5783.0,6219.0,6119.0,5423.0,5696.0,5688.0,6594.0,4498.0,2290.0,2311.0,2020.0,2304.0,2177.0,2251.0,2134.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Albany, GA",Bus,80042,618,51147.0,51948.0,49160.0,54740.0,52665.0,56096.0,51536.0,60590.0,53827.0,65337.0,61349.0,52011.0,61073.0,54024.0,52089.0,57960.0,67055.0,62093.0,58385.0,58909.0,58419.0,62329.0,52712.0,55491.0,56608.0,54005.0,64599.0,58349.0,54941.0,54344.0,59522.0,66969.0,53310.0,57651.0,57801.0,57235.0,59403.0,55182.0,61567.0,56043.0,53063.0,52628.0,45257.0,57160.0,61039.0,59236.0,57375.0,61551.0,65506.0,68249.0,61481.0,74136.0,65030.0,59528.0,63855.0,58051.0,64690.0,64882.0,73912.0,66977.0,58132.0,72746.0,66967.0,71494.0,69381.0,56656.0,77524.0,64144.0,70694.0,74006.0,44963.0,62055.0,66809.0,68978.0,73153.0,61001.0,64163.0,71738.0,82451.0,84310.0,96906.0,86234.0,76837.0,68243.0,61412.0,81507.0,84545.0,76011.0,85008.0,78928.0,65601.0,64393.0,62159.0,88630.0,79802.0,59199.0,78197.0,58250.0,80906.0,82550.0,72367.0,82038.0,76701.0,68397.0,74956.0,76899.0,81013.0,80286.0,85939.0,84698.0,86208.0,77069.0,78645.0,82531.0,79638.0,88918.0,77219.0,89176.0,81440.0,84742.0,89881.0,98775.0,78362.0,71966.0,85407.0,92061.0,84858.0,97038.0,79693.0,86041.0,74139.0,89820.0,81716.0,91324.0,74045.0,93348.0,86852.0,80023.0,90588.0,81109.0,93236.0,92015.0,82453.0,83372.0,84331.0,83616.0,99983.0,94032.0,85091.0,80854.0,59550.0,63811.0,61719.0,67829.0,58271.0,58812.0,61166.0,60250.0,60800.0,58929.0,55042.0,61248.0,56239.0,59665.0,57627.0,65880.0,55597.0,57161.0,53472.0,59069.0,59999.0,55189.0,53920.0,55467.0,52035.0,56692.0,51259.0,57781.0,58056.0,56240.0,45353.0,58548.0,61869.0,51147.0,53396.0,53350.0,50057.0,76131.0,77324.0,83753.0,73115.0,52081.0,67302.0,70680.0,67310.0,64225.0,49532.0,49022.0,47219.0,76624.0,76425.0,68390.0,70061.0,48810.0,68747.0,66276.0,71360.0
"Albany-Schenectady, NY",Bus,100010,335,999144.0,961310.0,990361.0,1013572.0,1005185.0,877083.0,919626.0,917564.0,1031519.0,1107464.0,971635.0,932930.0,1007355.0,966555.0,996801.0,964563.0,964398.0,909367.0,949208.0,922637.0,1040373.0,1084381.0,963193.0,884531.0,859343.0,868660.0,978513.0,1006239.0,957256.0,933605.0,925729.0,913796.0,1083051.0,1056607.0,963048.0,957245.0,893800.0,934775.0,1062015.0,1107682.0,1057865.0,1008318.0,947975.0,1062667.0,1170010.0,1138618.0,1084743.0,1072302.0,1057011.0,1015688.0,1166446.0,1015162.0,1074611.0,1011417.0,970915.0,1068685.0,1140270.0,1188899.0,1116511.0,1069077.0,1077227.0,972288.0,1157037.0,1081000.0,1066777.0,1052466.0,1035772.0,1157903.0,1179593.0,1336742.0,1178090.0,1071985.0,1172351.0,1184711.0,1231928.0,1310438.0,1267309.0,1185732.0,1243106.0,1293695.0,1412128.0,1498501.0,1240878.0,1219725.0,1191640.0,1201258.0,1323411.0,1223061.0,1147837.0,1090596.0,1078435.0,1070704.0,1236174.0,1289336.0,1138008.0,1121857.0,1055726.0,1070867.0,1278499.0,1211862.0,1110149.0,1076795.0,1056675.0,1105195.0,1265244.0,1282026.0,1162226.0,1118901.0,1049610.0,1054299.0,1282870.0,1203596.0,1179563.0,1137379.0,1041474.0,1190441.0,1321015.0,1355827.0,1266146.0,1230669.0,1186541.0,1285484.0,1340868.0,1282049.0,1283624.0,1157224.0,1133503.0,1279790.0,1342112.0,1475847.0,1351092.0,1228086.0,1232416.0,1270171.0,1347424.0,1400692.0,1373333.0,1158842.0,1235489.0,1332305.0,1470189.0,1379891.0,1661958.0,1298530.0,1257820.0,1299047.0,1412514.0,1475758.0,1397583.0,1264104.0,1283474.0,1361931.0,1544117.0,1649944.0,1373874.0,1393544.0,1245980.0,1260227.0,1437917.0,1441793.0,1389224.0,1301498.0,1328963.0,1367712.0,1516733.0,1577333.0,1423570.0,1414089.0,1275971.0,1401640.0,1494310.0,1423288.0,1334992.0,1283608.0,1209019.0,1335598.0,1571688.0,1546147.0,1423106.0,1372016.0,1310735.0,1343063.0,1432324.0,1411550.0,1430954.0,1276381.0,1201763.0,1343979.0,1506897.0,1587452.0,1388301.0,1258094.0,1185294.0,1230242.0,1332327.0,1294858.0,1355816.0,1192814.0,1140882.0,1262143.0,1398439.0,1554839.0,1334260.0,1236949.0,1187451.0,1211447.0,1323791.0
"Albany-Schenectady, NY",Other,40004,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,122.0,197.0,159.0,156.0,295.0,408.0,541.0,721.0,866.0,1418.0,1607.0,1859.0,1899.0,1662.0,1621.0,1634.0,9535.0,9771.0,11641.0,12489.0,12366.0,13281.0,11293.0,12626.0,12660.0,12222.0,11224.0,10274.0,10629.0,11273.0,13143.0,13191.0,12552.0,11577.0,12037.0,14218.0,12396.0,14901.0,13692.0,12765.0,14017.0,13415.0,16565.0,15601.0,16535.0,15897.0,16915.0,18348.0,17622.0,19022.0,16719.0,17307.0,18824.0,16417.0,18171.0,16593.0,15923.0,15079.0,15205.0,15473.0,14770.0,17000.0,14504.0,16025.0,15584.0,14322.0,17901.0,17085.0,15325.0,16105.0,16119.0,16279.0,16770.0,16772.0,15339.0,15443.0,14208.0,14600.0,15012.0,13917.0,14352.0,14105.0,11314.0,14072.0,15625.0,14649.0,14226.0,14615.0,11934.0,13592.0,19098.0,18267.0,16174.0,14735.0,13031.0,15794.0,14729.0,17321.0,16589.0,15744.0,16322.0,14889.0,17497.0,17861.0,19507.0,17780.0,17493.0,18665.0,17008.0,20611.0,19673.0,19506.0,20199.0,19393.0,21952.0
"Albuquerque, NM",Bus,420593,392,642920.0,618228.0,610613.0,633929.0,615785.0,675150.0,582877.0,626301.0,590788.0,655369.0,557238.0,531199.0,553966.0,559600.0,588243.0,570948.0,604562.0,561886.0,569136.0,568384.0,573684.0,620120.0,503651.0,526281.0,537521.0,530083.0,609205.0,585208.0,548209.0,588351.0,571929.0,608287.0,599793.0,557070.0,522708.0,517242.0,563417.0,578240.0,663682.0,681604.0,658756.0,673483.0,586470.0,681330.0,747895.0,743237.0,702933.0,652261.0,681038.0,696988.0,763453.0,735117.0,803992.0,770937.0,744496.0,865358.0,939016.0,838274.0,756053.0,666245.0,754671.0,731641.0,816044.0,786681.0,858606.0,821624.0,813488.0,928086.0,956489.0,929851.0,842764.0,745332.0,804976.0,839070.0,911471.0,934054.0,925472.0,964392.0,999916.0,1028449.0,1118129.0,999169.0,823126.0,788994.0,841994.0,817046.0,884698.0,906354.0,856810.0,893203.0,908402.0,953619.0,1043028.0,1003835.0,872428.0,858246.0,898449.0,937836.0,1021101.0,1005470.0,935587.0,953119.0,945338.0,1036813.0,1112678.0,1070730.0,957617.0,890840.0,958007.0,910123.0,1104647.0,1082078.0,1042285.0,1050252.0,1008863.0,1184090.0,1195345.0,1144053.0,1052300.0,896842.0,1073914.0,1108722.0,1117109.0,1126023.0,1112785.0,1065415.0,1040231.0,1203230.0,1136123.0,1274502.0,1101658.0,944399.0,1062287.0,1064236.0,1108383.0,1166878.0,1120514.0,1039487.0,1102406.0,1212480.0,1175413.0,1258834.0,1055376.0,979587.0,1110302.0,1083162.0,1123760.0,1148449.0,1098119.0,1055028.0,1086824.0,1156143.0,1192123.0,1230950.0,1011468.0,983872.0,982484.0,987969.0,1057699.0,1072212.0,972055.0,1017838.0,1033584.0,1062719.0,1095285.0,1086122.0,925891.0,890757.0,890792.0,972428.0,1018771.0,974382.0,931244.0,934499.0,895885.0,1001155.0,999582.0,984555.0,868058.0,827109.0,834040.0,834261.0,916493.0,826877.0,848720.0,810425.0,774604.0,886561.0,869809.0,893474.0,814289.0,768252.0,816439.0,811733.0,883786.0,854812.0,858637.0,822114.0,812052.0,916039.0,827835.0,874830.0,789873.0,698886.0,748619.0,730196.0,790272.0
"Albuquerque, NM",Other,120222,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125907.0,105181.0,115812.0,100553.0,109052.0,120269.0,125144.0,124613.0,123170.0,116059.0,90105.0,95222.0,92379.0,87023.0,101634.0,92743.0,88981.0,102958.0,109666.0,108235.0,113275.0,97949.0,81972.0,88872.0,85102.0,84509.0,117081.0,106111.0,109722.0,116617.0,117143.0,122235.0,114670.0,101214.0,84705.0,83065.0,86089.0,90540.0,101005.0,92056.0,96799.0,102133.0,105791.0,103288.0,98852.0,103041.0,82134.0,76611.0,84135.0,83052.0,92969.0,92480.0,93260.0,93364.0,105246.0,102889.0,97890.0,97885.0,79787.0,79423.0,85386.0,86728.0,91190.0,91764.0,91488.0,93404.0,100393.0,100404.0,93299.0,94874.0,73874.0,80833.0,75431.0,77067.0,82936.0,78833.0,75341.0,83542.0,88899.0,80718.0,84347.0,85684.0,65697.0,69720.0,66320.0,72788.0,77050.0,69197.0,70395.0,73154.0,76077.0,78387.0,77246.0,79250.0,62524.0,64997.0,62231.0,66739.0,76579.0,65146.0,67760.0,70198.0,72040.0,74917.0,66351.0,77306.0,61769.0,60137.0,59091.0,58578.0,67234.0,62778.0,66976.0,68548.0,68695.0,75385.0,63697.0,72519.0,58292.0,56991.0,59520.0,59497.0,64539.0
"Alexandria, LA",Bus,120050,692,53265.0,53948.0,50845.0,52325.0,55059.0,49916.0,51092.0,58636.0,51897.0,55598.0,54542.0,54173.0,57338.0,52981.0,54618.0,51091.0,53231.0,49042.0,53786.0,51418.0,47578.0,51136.0,42614.0,0.0,47797.0,46040.0,44208.0,40867.0,46712.0,46604.0,50377.0,52125.0,49754.0,51704.0,49856.0,53358.0,50949.0,51418.0,52369.0,49620.0,46707.0,48778.0,45492.0,46341.0,44129.0,45542.0,48136.0,49889.0,51190.0,45995.0,49670.0,49588.0,48174.0,48673.0,0.0,0.0,0.0,0.0,0.0,0.0,57338.0,56190.0,55501.0,52335.0,57779.0,58215.0,55609.0,67379.0,56232.0,66234.0,66003.0,67590.0,59718.0,70215.0,54216.0,60570.0,59707.0,60410.0,65166.0,62100.0,57998.0,69743.0,54615.0,60478.0,70779.0,66839.0,65819.0,64316.0,64959.0,66146.0,65519.0,63244.0,67431.0,71370.0,59884.0,64465.0,52396.0,60494.0,59149.0,61943.0,61756.0,61689.0,64396.0,63544.0,64306.0,64526.0,56848.0,56880.0,57893.0,54061.0,54514.0,58448.0,58803.0,55760.0,54719.0,54232.0,55766.0,56508.0,53132.0,55884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Allentown, PA-NJ",Bus,90030,183,386105.0,357008.0,369184.0,382352.0,387457.0,407674.0,440087.0,524163.0,395116.0,404673.0,386707.0,355519.0,373005.0,317555.0,385466.0,384405.0,388933.0,412903.0,421405.0,483441.0,386060.0,448430.0,362363.0,393786.0,351180.0,375013.0,418499.0,418938.0,395741.0,435034.0,425861.0,486719.0,429049.0,452474.0,398181.0,451979.0,441294.0,446214.0,438509.0,416402.0,434147.0,444832.0,415760.0,557218.0,505513.0,416416.0,467057.0,427533.0,451447.0,426054.0,481699.0,429692.0,479216.0,488737.0,450266.0,612076.0,504117.0,501631.0,488170.0,463824.0,474416.0,411075.0,474886.0,410000.0,391000.0,447181.0,430399.0,593800.0,436752.0,430000.0,511263.0,418835.0,468891.0,448570.0,447629.0,491646.0,479749.0,503271.0,542891.0,600905.0,534545.0,0.0,0.0,0.0,457063.0,456044.0,469565.0,447091.0,450878.0,500903.0,484025.0,549661.0,538393.0,551672.0,469394.0,498132.0,456697.0,414373.0,537256.0,496207.0,465641.0,435535.0,439610.0,435500.0,450305.0,440523.0,451480.0,478857.0,397037.0,412456.0,521398.0,517523.0,467611.0,980803.0,455838.0,463526.0,439731.0,447621.0,435478.0,460529.0,421706.0,427093.0,457091.0,423056.0,428602.0,421345.0,407455.0,472442.0,438292.0,444292.0,439892.0,436139.0,424482.0,445701.0,458638.0,474481.0,467602.0,436402.0,443059.0,492999.0,458401.0,506749.0,450448.0,427075.0,407429.0,369231.0,464521.0,476539.0,479563.0,458326.0,461311.0,473636.0,475611.0,508625.0,426786.0,453731.0,401342.0,377436.0,436074.0,456462.0,440306.0,442067.0,448735.0,455095.0,470080.0,493455.0,444504.0,465280.0,366014.0,419404.0,460396.0,447414.0,429245.0,435139.0,410587.0,460933.0,456128.0,468512.0,439709.0,428398.0,398415.0,402237.0,410390.0,414226.0,441709.0,416057.0,398920.0,444776.0,434559.0,451785.0,421849.0,388596.0,376997.0,365254.0,367127.0,401315.0,428854.0,410158.0,387955.0,423173.0,395851.0,454437.0,387980.0,384113.0,365807.0,339600.0,390999.0
"Altoona, PA",Bus,120044,1436,63655.0,60169.0,59982.0,67229.0,59987.0,38398.0,36633.0,46529.0,65018.0,0.0,0.0,0.0,63187.0,61150.0,67545.0,68564.0,61903.0,38963.0,36166.0,39324.0,67891.0,74850.0,60451.0,60683.0,57600.0,59423.0,68656.0,66088.0,53702.0,38437.0,35829.0,39779.0,67040.0,67456.0,59631.0,56434.0,59647.0,59717.0,65173.0,69284.0,55031.0,36473.0,33567.0,40729.0,69454.0,65978.0,62199.0,55258.0,63786.0,63244.0,71422.0,63160.0,57707.0,37828.0,33009.0,40326.0,69525.0,73468.0,67107.0,64296.0,66184.0,60737.0,70203.0,68664.0,65369.0,30993.0,26884.0,27000.0,52098.0,56545.0,47816.0,46185.0,51510.0,51088.0,55635.0,63772.0,48085.0,28521.0,26628.0,34303.0,62685.0,69991.0,54661.0,52324.0,53510.0,59504.0,57432.0,61267.0,45281.0,29682.0,26738.0,30768.0,64279.0,68225.0,55709.0,53013.0,64478.0,66047.0,75696.0,74985.0,50286.0,38189.0,33627.0,42717.0,74373.0,75928.0,68257.0,60236.0,67437.0,68992.0,75890.0,74904.0,54192.0,32624.0,24235.0,37261.0,71234.0,72773.0,65568.0,55980.0,66927.0,75595.0,70320.0,74051.0,49383.0,32681.0,27398.0,36857.0,67285.0,75076.0,68283.0,56515.0,69366.0,69034.0,62682.0,72928.0,49051.0,33318.0,30547.0,38493.0,65355.0,72853.0,57503.0,51190.0,54983.0,57109.0,62104.0,68421.0,48615.0,35351.0,33249.0,39772.0,57665.0,64143.0,50356.0,50710.0,49110.0,54243.0,52581.0,59596.0,40799.0,33233.0,34281.0,40216.0,58701.0,63801.0,54082.0,52607.0,47952.0,56053.0,57172.0,59028.0,40402.0,35662.0,34213.0,44704.0,59050.0,56318.0,53172.0,45813.0,47435.0,51595.0,50818.0,50421.0,41322.0,35315.0,32531.0,45014.0,56097.0,56608.0,49612.0,41819.0,48645.0,48420.0,51547.0,50177.0,42304.0,34416.0,31909.0,46430.0,52117.0,59288.0,48180.0,43168.0,48937.0,47843.0,51632.0
