CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,Tot_NonUSA_POP_pct,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SHARE_RAIL,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,Tot_NonUSA_POP_pct_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SHARE_RAIL_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC,BIKE_SHARE,scooter_flag,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,, VRM_ADJ_log_FAC_cumsum ,,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,Tot_NonUSA_POP_pct_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_BUS_FAC_cumsum,scooter_flag_BUS_FAC_cumsum,BIKE_SHARE_RAIL_FAC_cumsum,scooter_flag_RAIL_FAC_cumsum,Unknown_FAC_cumsum,New_Reporter_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_Tot_NonUSA_POP_pct_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_BUS_FAC_cumsum,UPT_ADJ_scooter_flag_BUS_FAC_cumsum,UPT_ADJ_BIKE_SHARE_RAIL_FAC_cumsum,UPT_ADJ_scooter_flag_RAIL_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_New_Reporter_FAC_cumsum
1,0,2002,190,0.00,2013178760.86,0.00,1848163410.58,0.00,,,,,,,,,,,,,,,,0.00,0.00,-41221334.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2013178760.86,2013178760.86,,,,0.00,0.00,0.00,-9145452.21,9145452.21,,41221334.18,-139650044.55,-187211475.16,-136464190.30,-14143563.95,-958803.89,84711720.09,18532402.65,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,240330696.26,0.00,2004033308.65,1971957426.68,2152828805.41,2200390236.02,2149642951.16,2027322324.81,2014137564.75,1928467040.77,1994646358.21,1983395995.73,2013178760.86,2017343777.10,2013178760.86,2013178760.86,2013178760.86,1772848064.60,2013178760.86
1,0,2003,190,2013178760.86,2013821311.87,642551.01,1971339666.42,123176255.85,52483905.45,5.35,7061254.27,2.26,40665.70,1.33,10.09,0.50,3.95,0.00,0.00,0.00,0.00,0.00,0.00,53540723.20,38890837.19,-80112171.37,19440107.35,31631389.81,12986476.28,496928.55,-1701128.07,-14866487.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140418846.62,149338468.47,-148695917.46,0.00,642551.01,0.00,0.00,0.00,0.00,0.00,0.00,-62686175.41,62686175.41,,80112171.37,-120209937.20,-155580085.35,-123477714.02,-13646635.40,-2659931.97,69845232.39,18532402.65,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,91634778.81,0.00,1951135136.46,1933709140.50,2134031249.07,2169401397.22,2137299025.89,2027467947.27,2016481243.84,1943976079.48,1995288909.22,1984038546.74,2013821311.87,2017986328.11,2013821311.87,2013821311.87,2013821311.87,1922186533.06,2013821311.87
1,0,2004,190,2013821311.87,2041332579.58,27511267.71,2032563494.89,61223828.47,53263464.80,5.47,7213576.94,2.57,39654.80,1.36,10.03,0.48,3.96,0.00,0.00,0.00,0.00,0.00,0.00,16867549.79,-12854942.73,-67257228.65,23282544.97,32483155.02,18950210.80,636963.75,-1712057.69,-14005045.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63648378.45,64212569.31,-36701301.60,0.00,27511267.71,0.00,0.00,0.00,0.00,0.00,0.00,-79553725.20,79553725.20,,67257228.65,-96927392.22,-123096930.33,-104527503.22,-13009671.65,-4371989.66,55840186.93,18532402.65,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,54933477.21,0.00,1961778854.38,1974075350.93,2138259971.80,2164429509.91,2145860082.80,2054342251.23,2045704569.24,1985492392.65,2022800176.93,2011549814.45,2041332579.58,2045497595.82,2041332579.58,2041332579.58,2041332579.58,1986399102.37,2041332579.58
1,0,2005,190,2041332579.58,2063004732.43,21672152.85,2074231680.97,41668186.08,51970829.05,5.53,7409766.05,3.03,38477.03,1.40,9.95,0.46,3.95,0.00,0.00,0.00,0.00,0.00,0.00,-25624240.47,-1584757.19,-65672471.46,23993802.57,42412984.82,17405303.93,733451.32,-1940521.38,-12651428.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42744594.80,42108857.58,-20436704.73,0.00,21672152.85,0.00,0.00,0.00,0.00,0.00,0.00,-53929484.73,53929484.73,,65672471.46,-72933589.65,-80683945.52,-87122199.28,-12276220.33,-6312511.04,43188758.12,18532402.65,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,34496772.48,0.00,2009075247.70,1997332260.97,2135938322.08,2143688677.95,2150126931.71,2075280952.76,2069317243.47,2019815974.31,2044472329.78,2033221967.30,2063004732.43,2067169748.67,2063004732.43,2063004732.43,2063004732.43,2028507959.95,2063004732.43
1,0,2006,190,2063004732.43,2071799487.97,8794755.54,2137661871.62,63430190.65,52066320.03,5.49,7653103.32,3.32,36885.57,1.39,9.79,0.44,4.32,0.00,0.00,0.00,0.00,0.00,0.00,4076443.25,907349.51,-66579820.96,30455998.56,24666397.06,28368594.12,169003.38,-1589407.65,-14150566.87,-6606465.37,0.00,0.00,0.00,0.00,0.00,0.00,66297346.00,66491871.26,-57697115.72,0.00,8794755.54,0.00,0.00,0.00,0.00,0.00,0.00,-58005927.98,58005927.98,,66579820.96,-42477591.10,-56017548.46,-58753605.16,-12107216.94,-7901918.69,29038191.26,11925937.27,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,-23200343.24,0.00,2013793559.99,2005219667.01,2114277079.07,2127817036.43,2130553093.13,2083906704.91,2079701406.66,2042761296.71,2059873550.70,2042016722.84,2071799487.97,2075964504.21,2071799487.97,2071799487.97,2071799487.97,2094999831.21,2071799487.97
1,0,2007,190,2071799487.97,2090532280.42,18732792.45,2164930655.90,27268784.28,53406452.63,5.58,7706491.44,3.49,37448.32,1.44,9.55,0.44,4.44,0.00,0.00,0.00,0.00,0.00,0.00,28444215.31,-7478886.33,-59100934.63,10149995.82,13733838.16,-10102898.15,2644308.93,-2604506.93,-5084788.04,-2093991.02,0.00,0.00,0.00,0.00,0.00,0.00,27607287.73,27472008.21,-8739215.76,0.00,18732792.45,0.00,0.00,0.00,0.00,0.00,0.00,-86450143.30,86450143.30,,59100934.63,-32327595.28,-42283710.30,-68856503.32,-9462908.01,-10506425.62,23953403.21,9831946.25,29782765.13,0.00,-4165016.24,0.00,0.00,0.00,-31939559.01,0.00,2004082137.12,2031431345.79,2122859875.70,2132815990.72,2159388783.74,2099995188.43,2101038706.04,2066578877.21,2080700334.17,2060749515.29,2090532280.42,2094697296.66,2090532280.42,2090532280.42,2090532280.42,2122471839.43,2090532280.42
1,0,2008,190,2090532280.42,2172421239.82,81888959.40,2242646107.02,77715451.12,54111882.80,5.45,7762978.82,3.92,37456.14,1.47,9.67,0.43,4.52,0.00,0.00,0.09,0.00,0.00,0.00,18944520.39,16213608.02,-75314542.65,7380610.08,32657085.09,-575255.24,2229929.60,2479924.80,-6173197.92,-1412173.81,0.00,0.00,1475769.44,0.00,0.00,0.00,73220820.45,74256773.52,7632185.88,0.00,81888959.40,0.00,0.09,0.00,0.00,1475769.44,0.00,-105394663.68,105394663.68,,75314542.65,-24946985.20,-9626625.21,-69431758.56,-7232978.41,-8026500.82,17780205.30,8419772.44,29782765.13,0.00,-2689246.80,0.00,0.00,0.00,-24307373.13,0.00,2067026576.14,2097106697.17,2197368225.02,2182047865.03,2241852998.38,2179654218.23,2180447740.64,2154641034.52,2164001467.38,2142638474.69,2172421239.82,2175110486.62,2172421239.82,2172421239.82,2172421239.82,2196728612.95,2172421239.82
1,0,2009,190,2172421239.82,2087736682.36,-84684557.46,2128047714.39,-114598392.63,54108013.71,6.04,7728320.62,2.86,35764.97,1.48,9.82,0.42,4.72,0.00,0.00,0.09,0.00,0.00,0.00,-1545821.93,-49080716.20,-26233826.46,-1882362.66,-87767083.92,36057896.37,696561.76,2392489.39,-7867673.56,-3517297.96,0.00,0.00,0.00,0.00,0.00,0.00,-112514008.71,-112310853.91,27626296.45,0.00,-84684557.46,0.00,0.09,0.00,0.00,0.00,0.00,-103848841.75,103848841.75,,26233826.46,-26829347.86,-97393709.13,-33373862.19,-6536416.65,-5634011.43,9912531.74,4902474.48,29782765.13,0.00,-2689246.80,0.00,0.00,0.00,3318923.32,0.00,1983887840.61,2061502855.90,2114566030.22,2185130391.49,2121110544.55,2094273099.01,2093370693.79,2077824150.62,2082834207.88,2057953917.23,2087736682.36,2090425929.16,2087736682.36,2087736682.36,2087736682.36,2084417759.04,2087736682.36
1,0,2010,190,2087736682.36,2019401363.65,-68335318.71,2120916029.96,-7131684.43,51447519.45,6.23,7710907.63,3.32,34928.74,1.55,10.08,0.41,4.96,0.00,0.00,0.16,0.00,0.00,0.00,-51776790.57,-15671469.26,-10562357.20,2390287.70,40035075.97,19161922.93,4078507.30,3067186.49,-3822943.07,-4270809.54,0.00,0.00,1229646.20,0.00,0.00,0.00,-5579385.84,-6172906.22,-62162412.49,0.00,-68335318.71,0.00,0.16,0.00,0.00,1229646.20,0.00,-52072051.19,52072051.19,,10562357.20,-24439060.16,-57358633.16,-14211939.26,-2457909.35,-2566824.93,6089588.67,631664.94,29782765.13,0.00,-1459600.60,0.00,0.00,0.00,-58843489.18,0.00,1967329312.46,2008839006.45,2043840423.81,2076759996.81,2033613302.91,2021859273.00,2021968188.58,2013311774.98,2018769698.71,1989618598.52,2019401363.65,2020860964.25,2019401363.65,2019401363.65,2019401363.65,2078244852.83,2019401363.65
1,0,2011,190,2019401363.65,2050937950.31,31536586.66,2153136326.25,32220296.29,50249004.97,6.43,7791753.40,4.06,34360.30,1.55,10.38,0.40,4.87,0.14,0.00,0.22,0.00,0.00,0.00,-28986724.84,-9112396.17,-1449961.02,10876578.90,55183960.14,10623300.00,183747.85,4046637.84,-5839183.01,1224651.58,-6620453.47,0.00,925271.57,0.00,0.00,0.00,32505390.38,31563862.04,-27275.38,0.00,31536586.66,0.14,0.22,0.00,-6620453.47,925271.57,0.00,-23085326.35,23085326.35,,1449961.02,-13562481.26,-2174673.03,-3588639.25,-2274161.50,1479812.91,250405.65,1856316.52,23162311.66,0.00,-534329.03,0.00,0.00,0.00,-58870764.56,0.00,2027852623.96,2049487989.29,2064500431.57,2053112623.34,2054526589.56,2053212111.81,2049458137.40,2050687544.66,2049081633.79,2027775638.65,2050937950.31,2051472279.34,2050937950.31,2050937950.31,2050937950.31,2109808714.87,2050937950.31
1,0,2012,190,2050937950.31,2080704081.96,29766131.65,2122780999.94,-30355326.30,49478187.99,6.47,7908357.15,4.09,34214.69,1.60,10.28,0.40,4.98,0.60,0.00,0.26,0.00,0.00,0.00,-23085326.35,-1449961.02,0.00,13562481.26,2174673.03,3588639.25,2274161.50,-1479812.91,-250405.65,-1856316.52,-23162311.66,0.00,534329.03,0.00,0.00,0.00,-29149850.04,-29104632.91,58870764.56,0.00,29766131.65,0.60,0.26,0.00,-23162311.66,534329.03,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96,2080704081.96
1,0,2013,190,2080704081.96,2076740891.85,-3963190.11,2079510783.29,-43270216.65,50324420.29,6.61,8026528.28,3.93,34453.72,1.63,10.04,0.40,4.98,1.38,0.00,0.26,0.00,0.00,0.00,17140002.37,-12988471.16,,12348397.88,-11543981.77,-5873126.89,1589200.05,-3753965.47,-213914.52,-42697.15,-38854616.20,0.00,0.00,0.00,0.00,0.00,-42193172.87,-42017640.11,38054450.00,0.00,-3963190.11,1.38,0.26,0.00,-38854616.20,0.00,0.00,,17140002.37,,-12988471.16,12348397.88,-11543981.77,-5873126.89,1589200.05,-3753965.47,-213914.52,-42697.15,-38854616.20,0.00,0.00,0.00,0.00,0.00,38054450.00,0.00,2059600889.48,2089729363.01,2064392493.97,2088284873.62,2082614018.74,2075151691.80,2080494857.32,2076954806.37,2076783589.00,2115595508.05,2076740891.85,2076740891.85,2076740891.85,2076740891.85,2076740891.85,2038686441.85,2076740891.85
1,0,2014,190,2076740891.85,2061718570.83,-15022321.02,2038258613.32,-41252169.97,50223570.18,6.58,8095352.85,3.72,34787.07,1.67,9.99,0.40,5.18,2.22,0.00,0.61,0.00,0.00,0.00,2654034.67,1656670.88,,14429671.00,-15258399.60,-6057212.98,2056629.19,-666355.66,136038.94,-3648782.07,-42368490.52,0.00,5796866.20,0.00,0.00,0.00,-41269329.96,-41407841.72,26385520.70,0.00,-15022321.02,2.22,0.61,0.00,-42368490.52,5796866.20,0.00,,19794037.03,,-11331800.28,26778068.89,-26802381.37,-11930339.88,3645829.24,-4420321.13,-77875.58,-3691479.23,-81223106.72,0.00,5796866.20,0.00,0.00,0.00,64439970.70,0.00,2041924533.80,2073050371.11,2034940501.94,2088520952.20,2073648910.71,2058072741.59,2066138891.96,2061796446.41,2065410050.06,2142941677.55,2061718570.83,2055921704.63,2061718570.83,2061718570.83,2061718570.83,1997278600.13,2061718570.83
1,0,2015,190,2061718570.83,2028750453.35,-32968117.48,1925320198.11,-112938415.21,50424224.68,6.75,8082812.79,2.78,35991.69,1.72,9.89,0.40,5.29,3.20,0.00,0.91,0.00,0.00,0.00,22607907.34,-6597181.93,,13008751.72,-77797604.01,-22094925.41,2691208.66,-1109199.24,301780.34,-1693878.25,-49768551.93,0.00,4972639.76,0.00,0.00,0.00,-115479052.96,-114469433.73,81501316.25,0.00,-32968117.48,3.20,0.91,0.00,-49768551.93,4972639.76,0.00,,42401944.37,,-17928982.21,39786820.60,-104599985.38,-34025265.29,6337037.90,-5529520.38,223904.76,-5385357.48,-130991658.65,0.00,10769505.96,0.00,0.00,0.00,145941286.95,0.00,1986348508.98,2046679435.56,1988963632.75,2133350438.73,2062775718.64,2022413415.45,2034279973.73,2028526548.59,2034135810.83,2159742112.00,2028750453.35,2017980947.39,2028750453.35,2028750453.35,2028750453.35,1882809166.40,2028750453.35
1,0,2016,190,2028750453.35,1944704725.54,-84045727.81,1849748933.79,-75571264.32,51123819.20,6.91,8157897.83,2.46,36829.11,1.77,9.80,0.40,5.79,4.21,0.00,0.98,0.00,0.00,0.00,15628701.94,-7701090.90,,10358850.38,-29756827.06,-14575991.41,3097045.87,-1769120.37,714103.13,-8983086.16,-48972722.91,0.00,1185648.16,0.00,0.00,0.00,-80774489.32,-80111683.95,-3934043.86,0.00,-84045727.81,4.21,0.98,0.00,-48972722.91,1185648.16,0.00,,58030646.31,,-25630073.11,50145670.99,-134356812.43,-48601256.70,9434083.76,-7298640.75,938007.89,-14368443.64,-179964381.56,0.00,11955154.13,0.00,0.00,0.00,142007243.10,0.00,1886674079.23,1970334798.65,1894559054.55,2079061537.97,1993305982.24,1935270641.78,1952003366.29,1943766717.65,1959073169.18,2124669107.10,1944704725.54,1932749571.41,1944704725.54,1944704725.54,1944704725.54,1802697482.44,1944704725.54
1,0,2017,190,1944704725.54,1875434228.55,-69270496.99,1847115890.97,-2633042.81,51778554.77,6.78,8222438.73,2.68,37568.40,1.77,9.66,0.40,5.96,5.23,0.00,0.98,0.00,0.00,0.00,13678003.88,13188553.45,,11801586.47,20529825.94,-11062694.98,238748.69,-2229878.35,259729.01,-2748190.37,-46943913.44,0.00,0.00,0.00,0.00,0.00,-3288229.70,-3961041.45,-65309455.54,0.00,-69270496.99,5.23,0.98,0.00,-46943913.44,0.00,0.00,,71708650.19,,-12441519.66,61947257.46,-113826986.50,-59663951.68,9672832.46,-9528519.10,1197736.90,-17116634.00,-226908295.00,0.00,11955154.13,0.00,0.00,0.00,76697787.56,0.00,1803725578.36,1887875748.21,1813486971.09,1989261215.05,1935098180.23,1865761396.09,1884962747.65,1874236491.65,1892550862.55,2102342523.55,1875434228.55,1863479074.42,1875434228.55,1875434228.55,1875434228.55,1798736440.99,1875434228.55
1,0,2018,190,1875434228.55,1832287979.44,-43146249.11,1811349467.14,-35766423.84,52161249.59,6.64,8307363.78,2.97,38392.41,1.78,9.51,0.40,6.21,6.24,0.00,1.00,0.69,0.00,0.00,8777390.82,10984204.51,,9798751.52,23977429.67,-12778903.83,901746.48,-1975148.59,348265.68,-4065083.73,-45271768.47,0.00,229505.64,-26932134.67,0.00,0.00,-36005744.97,-36693925.53,-6452323.58,0.00,-43146249.11,6.24,1.00,0.69,-45271768.47,229505.64,-26932134.67,,80486041.01,,-1457315.15,71746008.97,-89849556.82,-72442855.52,10574578.94,-11503667.69,1546002.58,-21181717.73,-272180063.48,0.00,12184659.77,-26932134.67,0.00,0.00,70245463.98,0.00,1751801938.43,1833745294.59,1760541970.47,1922137536.26,1904730834.96,1821713400.50,1843791647.13,1830741976.86,1853469697.17,2104468042.92,1832287979.44,1820103319.67,1859220114.11,1832287979.44,1832287979.44,1762042515.46,1832287979.44
1,1,2002,140,0.00,1217256111.03,0.00,1124459914.66,0.00,,,,,,,,,,,,,,,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1217256111.03,1217256111.03,,,,0.00,0.00,0.00,,-260440323.73,,63799735.62,-83164700.69,-114581737.75,-93775027.97,-10040700.37,-4181038.27,48493428.11,12114711.34,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,198995519.50,-49859716.84,1477696434.76,1153456375.41,1300420811.71,1331837848.78,1311031138.99,1227296811.40,1221437149.30,1168762682.91,1205141399.69,1217256111.03,1212425008.21,1217256111.03,1217256111.03,1222899783.66,1217256111.03,1018260591.52,1267115827.87
1,1,2003,140,1217256111.03,1210060392.49,-7195718.54,1201430967.17,76971052.51,55598614.74,8.18,8024107.43,2.22,43194.73,1.46,11.12,0.45,3.89,0.00,0.00,0.00,0.00,0.00,0.00,48417793.44,3995095.49,,10934344.17,18265133.41,9897413.96,494873.44,-713608.37,-7584489.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83706556.13,84995095.53,-92190814.07,0.00,-7195718.54,0.00,0.00,0.00,0.00,0.00,0.00,,-212022530.28,,67794831.11,-72230356.52,-96316604.34,-83877614.01,-9545826.93,-4894646.64,40908938.70,12114711.34,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,106804705.43,-49859716.84,1422082922.77,1142265561.38,1282290749.01,1306376996.83,1293938006.49,1219606219.42,1214955039.13,1169151453.79,1197945681.15,1210060392.49,1205229289.67,1210060392.49,1210060392.49,1215704065.12,1210060392.49,1103255687.05,1259920109.33
1,1,2004,160,1210060392.49,1282836170.95,62141084.46,1245916218.96,32018737.88,55835259.77,7.90,8200442.47,2.54,41816.14,1.47,11.07,0.43,3.89,0.00,0.00,0.00,0.00,0.00,0.00,-5738957.32,5634393.83,,13095185.62,20033037.16,13467544.66,631315.09,-710883.85,-7244668.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39166966.82,39875458.76,22265625.70,10634694.00,72775778.46,0.00,0.00,0.00,0.00,0.00,0.00,,-217761487.61,,73429224.94,-59135170.89,-76283567.18,-70410069.35,-8914511.84,-5605530.49,33664270.33,12114711.34,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,129070331.13,-39225022.84,1500597658.55,1209406946.01,1341971341.84,1359119738.13,1353246240.29,1291750682.78,1288441701.43,1249171900.61,1270721459.61,1282836170.95,1278005068.13,1282836170.95,1282836170.95,1288479843.58,1282836170.95,1153765839.81,1322061193.79
1,1,2005,160,1282836170.95,1322277913.87,39441742.93,1326611479.94,80695260.98,55135498.16,8.21,8282119.39,3.01,40495.78,1.50,10.96,0.41,3.88,0.00,0.00,0.00,0.00,0.00,0.00,81387742.21,-5442131.88,,14199918.55,27161182.18,13090764.76,652581.60,-795385.39,-6836229.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123418442.54,126645942.40,-87204199.47,0.00,39441742.93,0.00,0.00,0.00,0.00,0.00,0.00,,-136373745.40,,67987093.06,-44935252.34,-49122385.01,-57319304.59,-8261930.24,-6400915.88,26828040.84,12114711.34,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,41866131.66,-39225022.84,1458651659.27,1254290820.81,1367213166.22,1371400298.88,1379597218.46,1330539844.11,1328678829.75,1295449873.04,1310163202.54,1322277913.87,1317446811.06,1322277913.87,1322277913.87,1327921586.50,1322277913.87,1280411782.21,1361502936.71
1,1,2006,160,1322277913.87,1377657405.00,55379491.13,1395002092.20,68390612.26,56638205.04,8.20,8530098.31,3.30,38714.36,1.51,10.84,0.40,4.16,0.00,0.00,0.00,0.00,0.00,0.00,33210720.15,-9061167.86,,18728348.62,15920346.57,20850687.28,665238.05,-598537.28,-8066064.18,-3198005.61,0.00,0.00,0.00,0.00,0.00,0.00,68451565.74,68984600.97,-13605109.84,0.00,55379491.13,0.00,0.00,0.00,0.00,0.00,0.00,,-103163025.24,,58925925.20,-26206903.72,-33202038.44,-36468617.31,-7596692.18,-6999453.16,18761976.65,8916705.72,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,28261021.82,-39225022.84,1480820430.25,1318731479.80,1403864308.72,1410859443.44,1414126022.32,1385254097.19,1384656858.16,1358895428.35,1368740699.28,1377657405.00,1372826302.19,1377657405.00,1377657405.00,1383301077.63,1377657405.00,1349396383.18,1416882427.84
1,1,2007,170,1377657405.00,1428449159.21,22915072.37,1472841292.47,49962518.42,60284996.81,8.52,8585458.43,3.46,39227.35,1.53,10.68,0.39,4.38,0.00,0.00,0.00,0.00,0.00,0.00,58307380.58,-6833862.45,,5637829.13,8739024.74,-6225867.93,828756.09,-1354162.02,-2855146.84,-2613274.96,0.00,0.00,0.00,0.00,0.00,0.00,53630676.33,53279298.66,-30364226.29,27876681.84,50791754.21,0.00,0.00,0.00,0.00,0.00,0.00,,-44855644.66,,52092062.75,-20569074.59,-24463013.70,-42694485.25,-6767936.09,-8353615.18,15906829.81,6303430.76,0.00,4831102.82,0.00,0.00,-5643672.63,0.00,-2103204.47,-11348341.00,1473304803.87,1376357096.46,1449018233.80,1452912172.91,1471143644.46,1435217095.30,1436802774.39,1412542329.40,1422145728.45,1428449159.21,1423618056.39,1428449159.21,1428449159.21,1434092831.84,1428449159.21,1430552363.68,1439797500.21
1,1,2008,160,1400572477.37,1467305277.13,66732799.76,1491225140.36,46260529.73,61208030.08,8.85,8592559.38,3.90,39205.39,1.58,10.75,0.39,4.49,0.00,0.00,0.00,0.00,0.20,0.00,24961402.41,-10182839.34,,4874702.78,22389494.92,86046.80,2142494.47,1460467.72,-3949648.52,-1078392.64,0.00,0.00,0.00,0.00,4940124.85,0.00,45643853.46,45861585.94,20871213.82,0.00,66732799.76,0.00,0.20,0.00,0.00,4940124.85,0.00,,-19894242.25,,41909223.41,-15694371.81,-2073518.78,-42608438.44,-4625441.62,-6893147.46,11957181.29,5225038.12,0.00,4831102.82,0.00,0.00,-703547.78,0.00,18768009.35,-11348341.00,1487199519.38,1425396053.72,1482999648.94,1469378795.91,1509913715.57,1471930718.75,1474198424.59,1455348095.84,1462080239.01,1467305277.13,1462474174.31,1467305277.13,1467305277.13,1468008824.91,1467305277.13,1448537267.78,1478653618.13
1,1,2009,170,1467305277.13,1444866088.86,-33787529.27,1435639824.30,-70332894.75,61023023.21,9.54,8550597.17,2.83,37594.71,1.58,10.88,0.38,4.65,0.00,0.00,0.00,0.00,0.20,0.00,2934994.31,-27606430.39,,-814365.06,-60090049.92,21711359.99,229523.71,1411216.26,-5044818.08,-2012647.08,0.00,0.00,0.00,0.00,0.00,0.00,-69281216.25,-69320167.92,35532638.65,11348341.00,-22439188.27,0.00,0.20,0.00,0.00,0.00,0.00,,-16959247.94,,14302793.02,-16508736.87,-62163568.70,-20897078.45,-4395917.91,-5481931.20,6912363.21,3212391.04,0.00,4831102.82,0.00,0.00,-703547.78,0.00,54300647.99,0.00,1461825336.80,1430563295.84,1461374825.73,1507029657.56,1465763167.31,1449262006.77,1450348020.06,1437953725.65,1441653697.82,1444866088.86,1440034986.04,1444866088.86,1444866088.86,1445569636.64,1444866088.86,1390565440.87,1444866088.86
1,1,2010,170,1444866088.86,1441831082.96,-3035005.90,1471906435.05,36266610.74,60958927.92,9.44,8579363.88,3.29,36763.11,1.64,11.15,0.38,4.88,0.00,0.00,0.00,0.00,0.23,0.00,-3767277.79,-3146934.20,,2383479.87,28072041.65,12136494.40,2717032.49,2969354.09,-2964306.61,-2928397.93,0.00,0.00,0.00,0.00,516056.21,0.00,35987542.17,36264800.66,-39299806.56,0.00,-3035005.90,0.00,0.23,0.00,0.00,516056.21,0.00,,-20726525.73,,11155858.82,-14125257.00,-34091527.05,-8760584.05,-1678885.42,-2512577.11,3948056.60,283993.11,0.00,4831102.82,0.00,0.00,-187491.57,0.00,15000841.44,0.00,1462557608.69,1430675224.14,1455956339.96,1475922610.01,1450591667.01,1443509968.38,1444343660.08,1437883026.36,1441547089.85,1441831082.96,1436999980.14,1441831082.96,1441831082.96,1442018574.53,1441831082.96,1426830241.53,1441831082.96
