,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2346,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2002,1,100,2028.4584490000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028.4584490000007,2028.4584490000007,2028.4584490000007,2028.4584490000007,2028.4584490000007,2028.4584490000007
2347,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2003,1,100,1999.8507299999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.8507299999994,1999.8507299999994,1999.8507299999994,1999.8507299999994,1999.8507299999994,1999.8507299999994
2348,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2004,1,100,2115.1534519999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2115.1534519999996,2115.1534519999996,2115.1534519999996,2115.1534519999996,2115.1534519999996,2115.1534519999996
2349,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2005,1,100,2507.212522999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2507.212522999996,2507.212522999996,2507.212522999996,2507.212522999996,2507.212522999996,2507.212522999996
2350,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2006,1,100,2603.6477749999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2603.6477749999985,2603.6477749999985,2603.6477749999985,2603.6477749999985,2603.6477749999985,2603.6477749999985
2351,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2007,1,100,2751.026060000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751.026060000004,2751.026060000004,2751.026060000004,2751.026060000004,2751.026060000004,2751.026060000004
2352,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2008,1,100,2818.6592389999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.6592389999983,2818.6592389999983,2818.6592389999983,2818.6592389999983,2818.6592389999983,2818.6592389999983
2353,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2009,1,100,2717.2693999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2717.2693999999988,2717.2693999999988,2717.2693999999988,2717.2693999999988,2717.2693999999988,2717.2693999999988
2354,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2010,1,100,2812.7820580000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2812.7820580000016,2812.7820580000016,2812.7820580000016,2812.7820580000016,2812.7820580000016,2812.7820580000016
2355,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2011,1,100,2875.4784469999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2875.4784469999963,2875.4784469999963,2875.4784469999963,2875.4784469999963,2875.4784469999963,2875.4784469999963
2356,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2012,1,100,2929.500930999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2929.500930999995,2929.500930999995,2929.500930999995,2929.500930999995,2929.500930999995,2929.500930999995
2357,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2013,1,100,3028.731445999999,43139104.70911378,63663484.83228108,-22683948.951900247,-622076.3628873639,-13947737.538472204,-25194635.95122254,43.139104709113774,63.663484832281085,-22.68394895190025,-0.6220763628873639,-13.947737538472204,-25.19463595122254,2985.592341290885,2965.067961167718,3051.415394951899,3029.3535223628865,3042.679183538471,3053.9260819512215
2358,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2014,1,100,3137.384053999998,25011905.241103694,31683729.71173871,3482401.4137882823,764263.5405765721,-16937472.202499565,6604159.0291191405,68.15100995021747,95.34721454401979,-19.201547538111967,0.1421871776892082,-30.885209740971767,-18.5904769221034,3069.2330440497803,3042.036839455978,3156.5856015381096,3137.2418668223086,3168.2692637409696,3155.974530922101
2359,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2015,1,100,3049.980992999996,4418332.019426117,10681069.151123922,-51810118.90469424,-1494193.9658658952,-110232109.67159954,6841076.403588971,72.56934196964359,106.02828369514371,-71.0116664428062,-1.352006788176687,-141.1173194125713,-11.749400518514426,2977.4116510303525,2943.9527093048523,3120.992659442802,3051.332999788173,3191.0983124125673,3061.7303935185105
2360,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2016,1,100,3072.351667999999,-1875047.189432236,-533174.4789635241,-3588091.5970698507,-16346754.68728818,-33868129.04374815,6650493.737292116,70.69429478021137,105.4951092161802,-74.59975803987605,-17.698761475464867,-174.98544845631946,-5.098906781222311,3001.6573732197876,2966.856558783819,3146.951426039875,3090.0504294754637,3247.337116456318,3077.4505747812213
2361,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2017,1,100,3093.3365620000004,11691154.974654336,16920277.427115746,-1446053.9322704885,-3940428.202658556,33271401.38833868,6699273.068811877,82.38544975486569,122.41538664329595,-76.04581197214652,-21.639189678123422,-141.71404706798077,1.600366287589566,3010.951112245135,2970.9211753567047,3169.382373972147,3114.9757516781237,3235.050609067981,3091.736195712411
2362,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area-Rail",2018,1,100,3028.6817610000016,-16713601.034459436,-13555297.800419923,-21040440.616302285,-7528648.655260786,26589624.43158972,6745030.700234843,65.67184872040626,108.86008884287601,-97.0862525884488,-29.167838333384207,-115.12442263639105,8.34539698782441,2963.0099122795955,2919.8216721571257,3125.7680135884502,3057.849599333386,3143.8061836363927,3020.3363640121775
